Date,Adj Close_PILANIINVS.NS,Close_PILANIINVS.NS,High_PILANIINVS.NS,Low_PILANIINVS.NS,Open_PILANIINVS.NS,Volume_PILANIINVS.NS,Date
2020-07-13,981.3359985351562,1027.357177734375,1067.857177734375,973.2857055664062,992.1785888671875,6804,2020-07-13
2020-07-20,976.6282348632812,1022.4285888671875,1045.0,1003.5714111328125,1025.0357666015625,4673,2020-07-20
2020-07-27,1059.594482421875,1109.2857666015625,1142.857177734375,981.4285888671875,1022.4285888671875,15107,2020-07-27
2020-08-03,1025.03662109375,1073.107177734375,1139.25,1054.0,1134.2142333984375,6938,2020-08-03
2020-08-10,1006.1370239257812,1053.3214111328125,1092.8214111328125,1028.7142333984375,1091.392822265625,6030,2020-08-10
2020-08-17,1055.432373046875,1104.9285888671875,1120.0,1035.7142333984375,1077.107177734375,9398,2020-08-17
2020-08-24,1108.3441162109375,1160.3214111328125,1160.7142333984375,1089.2857666015625,1121.0714111328125,15401,2020-08-24
2020-08-31,1087.2613525390625,1138.25,1170.7142333984375,1118.5714111328125,1157.142822265625,16917,2020-08-31
2020-09-07,1098.1876220703125,1131.7857666015625,1143.5714111328125,1089.3214111328125,1135.75,13293,2020-09-07
2020-09-14,1105.0489501953125,1138.857177734375,1196.4285888671875,1125.892822265625,1154.75,10050,2020-09-14
2020-09-21,1069.2861328125,1102.0,1178.5357666015625,1072.857177734375,1160.7142333984375,15143,2020-09-21
2020-09-28,1111.7025146484375,1145.7142333984375,1150.0,1097.107177734375,1100.7142333984375,10397,2020-09-28
2020-10-05,1119.2918701171875,1153.5357666015625,1171.357177734375,1123.607177734375,1143.5714111328125,3816,2020-10-05
2020-10-12,1119.2572021484375,1153.5,1171.4285888671875,1110.7142333984375,1149.3214111328125,10749,2020-10-12
2020-10-19,1353.7613525390625,1395.1785888671875,1421.4285888671875,1122.142822265625,1162.8214111328125,19057,2020-10-19
2020-10-26,1317.3050537109375,1357.607177734375,1514.2857666015625,1317.857177734375,1425.0,41203,2020-10-26
2020-11-02,1371.95458984375,1413.9285888671875,1500.0,1325.0,1392.142822265625,19804,2020-11-02
2020-11-09,1399.4700927734375,1442.2857666015625,1485.7142333984375,1343.607177734375,1414.2857666015625,50452,2020-11-09
2020-11-16,1401.0986328125,1443.9642333984375,1474.2857666015625,1422.2857666015625,1449.892822265625,31286,2020-11-16
2020-11-23,1487.144775390625,1532.642822265625,1599.9642333984375,1435.7142333984375,1443.9642333984375,40137,2020-11-23
2020-11-30,1496.605224609375,1542.392822265625,1571.4285888671875,1519.2857666015625,1532.642822265625,15206,2020-11-30
2020-12-07,1673.6181640625,1724.8214111328125,1775.0,1542.392822265625,1556.3214111328125,65722,2020-12-07
2020-12-14,1718.495361328125,1771.0714111328125,1842.857177734375,1695.642822265625,1746.4285888671875,29082,2020-12-14
2020-12-21,1741.1590576171875,1794.4285888671875,1819.9642333984375,1603.607177734375,1778.5714111328125,68106,2020-12-21
2020-12-28,2005.0084228515625,2066.35009765625,2330.0,1857.392822265625,1885.5,177518,2020-12-28
2021-01-04,1928.402099609375,1987.4000244140625,2070.0,1931.199951171875,2060.0,61715,2021-01-04
2021-01-11,1847.1383056640625,1903.6500244140625,2007.949951171875,1866.3499755859375,1999.699951171875,39334,2021-01-11
2021-01-18,1756.8990478515625,1810.6500244140625,1959.800048828125,1801.3499755859375,1919.0,29213,2021-01-18
2021-01-25,1729.9241943359375,1782.8499755859375,1879.6500244140625,1756.6500244140625,1835.0,17834,2021-01-25
2021-02-01,1864.3126220703125,1921.3499755859375,1950.050048828125,1780.0,1791.5999755859375,32955,2021-02-01
