Date,Adj Close_FLUOROCHEM.NS,Close_FLUOROCHEM.NS,High_FLUOROCHEM.NS,Low_FLUOROCHEM.NS,Open_FLUOROCHEM.NS,Volume_FLUOROCHEM.NS,Date
2020-07-13,416.9922180175781,418.29998779296875,424.20001220703125,367.04998779296875,378.20001220703125,488723,2020-07-13
2020-07-20,402.58740234375,403.8500061035156,465.95001220703125,396.20001220703125,422.45001220703125,432015,2020-07-20
2020-07-27,400.64349365234375,401.8999938964844,419.8999938964844,367.1000061035156,412.0,431437,2020-07-27
2020-08-03,478.349853515625,479.8500061035156,499.0,401.04998779296875,404.0,664715,2020-08-03
2020-08-10,457.216064453125,458.6499938964844,509.8999938964844,450.1000061035156,480.0,634310,2020-08-10
2020-08-17,515.8820190429688,517.5,522.7999877929688,461.0,461.0,1001592,2020-08-17
2020-08-24,548.8287963867188,550.5499877929688,571.5,502.6499938964844,521.0,1148001,2020-08-24
2020-08-31,529.6390380859375,531.2999877929688,554.7999877929688,504.1000061035156,551.0,366362,2020-08-31
2020-09-07,521.2651977539062,522.9000244140625,544.2999877929688,513.25,535.0999755859375,196697,2020-09-07
2020-09-14,530.4863891601562,532.1500244140625,549.0,519.5,540.0,325487,2020-09-14
2020-09-21,498.7857360839844,500.3500061035156,544.5,490.1000061035156,539.8499755859375,488660,2020-09-21
2020-09-28,489.3154296875,490.8500061035156,510.0,484.04998779296875,509.0,103643,2020-09-28
2020-10-05,481.0912170410156,482.6000061035156,508.0,477.5,493.0,113493,2020-10-05
2020-10-12,488.46807861328125,490.0,504.8999938964844,465.6499938964844,487.3500061035156,127392,2020-10-12
2020-10-19,502.9725646972656,504.54998779296875,514.6500244140625,490.0,497.5,200529,2020-10-19
2020-10-26,478.2501220703125,479.75,511.0,442.1499938964844,511.0,154332,2020-10-26
2020-11-02,495.7452392578125,497.29998779296875,506.0,462.04998779296875,489.8500061035156,83619,2020-11-02
2020-11-09,537.9130249023438,539.5999755859375,548.0,479.95001220703125,504.0,420421,2020-11-09
2020-11-16,512.39306640625,514.0,541.5,505.04998779296875,528.2000122070312,371539,2020-11-16
2020-11-23,572.604248046875,574.4000244140625,598.0,510.1000061035156,515.0,1243756,2020-11-23
2020-11-30,586.959228515625,588.7999877929688,623.2999877929688,570.5499877929688,574.4000244140625,680807,2020-11-30
2020-12-07,574.74755859375,576.5499877929688,592.0,558.3499755859375,588.7999877929688,397479,2020-12-07
2020-12-14,587.3579711914062,589.2000122070312,639.8499755859375,557.0,579.25,942426,2020-12-14
2020-12-21,561.6885375976562,563.4500122070312,597.7000122070312,536.0,594.0,235868,2020-12-21
2020-12-28,575.9437255859375,577.75,584.0,560.25,566.0,154535,2020-12-28
2021-01-04,619.5072021484375,621.4500122070312,650.0,568.0,580.5999755859375,1504576,2021-01-04
2021-01-11,591.9435424804688,593.7999877929688,643.0,590.0,622.0,433312,2021-01-11
2021-01-18,588.5541381835938,590.4000244140625,634.0,588.0,605.7999877929688,516210,2021-01-18
2021-01-25,566.2241821289062,568.0,620.0,565.0,592.4000244140625,184925,2021-01-25
2021-02-01,578.3362426757812,580.1500244140625,597.0,560.0,570.0,127447,2021-02-01
2021-02-08,572.3550415039062,574.1500244140625,609.0999755859375,556.0999755859375,591.0,445678,2021-02-08
2021-02-15,535.171630859375,536.8499755859375,584.9500122070312,531.1500244140625,580.0,302611,2021-02-15
2021-02-22,575.5449829101562,577.3499755859375,592.0,525.0999755859375,534.2000122070312,657049,2021-02-22
