Date,Adj Close_HDFCAMC.NS,Close_HDFCAMC.NS,High_HDFCAMC.NS,Low_HDFCAMC.NS,Open_HDFCAMC.NS,Volume_HDFCAMC.NS,Date
2020-07-13,2250.3212890625,2473.10009765625,2500.550048828125,2385.25,2494.0,2115817,2020-07-13
2020-07-20,2243.178466796875,2465.25,2529.0,2442.0,2484.39990234375,1968266,2020-07-20
2020-07-27,2201.68603515625,2419.64990234375,2462.449951171875,2380.0,2459.89990234375,1923865,2020-07-27
2020-08-03,2155.598876953125,2369.0,2440.10009765625,2352.25,2420.0,1747601,2020-08-03
2020-08-10,2134.306884765625,2345.60009765625,2395.0,2318.050048828125,2384.0,2052908,2020-08-10
2020-08-17,2183.442626953125,2399.60009765625,2442.0,2332.300048828125,2365.0,1468126,2020-08-17
2020-08-24,2275.935791015625,2501.25,2522.10009765625,2400.0,2400.0,2233376,2020-08-24
2020-08-31,2199.093017578125,2416.800048828125,2529.0,2381.949951171875,2525.0,1316773,2020-08-31
2020-09-07,2154.916259765625,2368.25,2434.64990234375,2357.0,2414.0,1126834,2020-09-07
2020-09-14,2015.880615234375,2215.449951171875,2390.0,2181.0,2372.0,2698666,2020-09-14
2020-09-21,1920.6121826171875,2110.75,2250.949951171875,2070.050048828125,2199.89990234375,2354497,2020-09-21
2020-09-28,2070.157470703125,2275.10009765625,2320.0,2127.75,2127.75,1385654,2020-09-28
2020-10-05,2154.507080078125,2367.800048828125,2374.199951171875,2270.0,2300.0,1012337,2020-10-05
2020-10-12,2078.61962890625,2284.39990234375,2374.699951171875,2258.0,2374.699951171875,1078651,2020-10-12
2020-10-19,2100.91259765625,2308.89990234375,2362.699951171875,2285.10009765625,2291.0,1052822,2020-10-19
2020-10-26,2047.5003662109375,2250.199951171875,2330.0,2237.050048828125,2308.0,1091885,2020-10-26
2020-11-02,2163.105712890625,2377.25,2385.0,2225.89990234375,2254.0,860164,2020-11-02
2020-11-09,2230.803955078125,2451.64990234375,2525.0,2398.0,2400.0,2192387,2020-11-09
2020-11-16,2192.5869140625,2409.64990234375,2524.39990234375,2400.050048828125,2404.14990234375,1169352,2020-11-16
2020-11-23,2310.103271484375,2538.800048828125,2577.10009765625,2415.0,2439.0,2657562,2020-11-23
2020-11-30,2357.7373046875,2591.14990234375,2611.300048828125,2500.0,2538.800048828125,1489007,2020-11-30
2020-12-07,2582.897216796875,2838.60009765625,2888.0,2600.0,2611.699951171875,3399683,2020-12-07
2020-12-14,2604.189208984375,2862.0,2899.0,2780.0,2849.0,1560330,2020-12-14
2020-12-21,2630.986083984375,2891.449951171875,2990.0,2678.0,2861.89990234375,2574807,2020-12-21
2020-12-28,2727.983642578125,2998.050048828125,3015.0,2876.10009765625,2924.0,1629299,2020-12-28
2021-01-04,2855.1904296875,3137.85009765625,3145.0,2970.39990234375,3015.949951171875,1940580,2021-01-04
2021-01-11,2952.14208984375,3244.39990234375,3358.89990234375,3137.85009765625,3150.0,1931239,2021-01-11
2021-01-18,2821.659912109375,3101.0,3290.89990234375,3071.050048828125,3244.0,1796405,2021-01-18
2021-01-25,2617.42822265625,2876.550048828125,3119.75,2852.14990234375,3101.0,1514104,2021-01-25
2021-02-01,2699.548828125,2966.800048828125,3074.10009765625,2843.449951171875,2890.10009765625,1551890,2021-02-01
2021-02-08,2728.302001953125,2998.39990234375,3108.949951171875,2972.10009765625,2984.0,1208120,2021-02-08
