Date,Adj Close_BUTTERFLY.NS,Close_BUTTERFLY.NS,High_BUTTERFLY.NS,Low_BUTTERFLY.NS,Open_BUTTERFLY.NS,Volume_BUTTERFLY.NS,Date
2020-07-13,126.92929077148438,128.14999389648438,131.25,121.05000305175781,123.0,565654,2020-07-13
2020-07-20,127.02833557128906,128.25,132.6999969482422,122.5,128.14999389648438,593969,2020-07-20
2020-07-27,117.71788024902344,118.8499984741211,129.0,118.30000305175781,128.0,226738,2020-07-27
2020-08-03,126.4340591430664,127.6500015258789,131.4499969482422,118.0,118.0,584945,2020-08-03
2020-08-10,125.49310302734375,126.69999694824219,137.6999969482422,125.0,128.75,747202,2020-08-10
2020-08-17,205.0281982421875,207.0,207.0,124.4000015258789,127.0,3545484,2020-08-17
2020-08-24,198.93678283691406,200.85000610351562,225.0,193.4499969482422,214.0,1146958,2020-08-24
2020-08-31,202.5024871826172,204.4499969482422,213.5,186.0,200.0,215347,2020-08-31
2020-09-07,215.2796173095703,217.35000610351562,219.0,200.1999969482422,210.9499969482422,154171,2020-09-07
2020-09-14,274.3614196777344,277.0,277.29998779296875,218.0,222.0,275015,2020-09-14
2020-09-21,243.06240844726562,245.39999389648438,280.0,230.0,276.1000061035156,197471,2020-09-21
2020-09-28,285.1575927734375,287.8999938964844,294.1000061035156,254.0,255.0,148486,2020-09-28
2020-10-05,278.9176025390625,281.6000061035156,302.0,277.1000061035156,293.0,100721,2020-10-05
2020-10-12,283.5727844238281,286.29998779296875,295.0,270.20001220703125,270.20001220703125,84804,2020-10-12
2020-10-19,305.85845947265625,308.79998779296875,329.0,286.29998779296875,286.29998779296875,205292,2020-10-19
2020-10-26,318.3384704589844,321.3999938964844,330.79998779296875,295.0,305.0,97737,2020-10-26
2020-11-02,357.7593994140625,361.20001220703125,361.20001220703125,306.3500061035156,306.3999938964844,164745,2020-11-02
2020-11-09,409.9573669433594,413.8999938964844,415.04998779296875,361.6499938964844,375.5,293436,2020-11-09
2020-11-16,403.12060546875,405.3999938964844,434.54998779296875,395.29998779296875,395.29998779296875,179302,2020-11-16
2020-11-23,413.611328125,415.95001220703125,427.6499938964844,369.79998779296875,405.54998779296875,161480,2020-11-23
2020-11-30,408.68914794921875,411.0,428.0,402.0,415.95001220703125,81986,2020-11-30
2020-12-07,427.9800720214844,430.3999938964844,446.0,409.1499938964844,411.0,160850,2020-12-07
2020-12-14,468.20263671875,470.8500061035156,497.70001220703125,427.3500061035156,439.8500061035156,336313,2020-12-14
2020-12-21,465.12005615234375,467.75,475.0,393.1000061035156,470.8999938964844,274283,2020-12-21
2020-12-28,459.8001403808594,462.3999938964844,480.0,455.54998779296875,476.0,109340,2020-12-28
