Date,Adj Close_KDDL.NS,Close_KDDL.NS,High_KDDL.NS,Low_KDDL.NS,Open_KDDL.NS,Volume_KDDL.NS,Date
2020-07-13,143.88674926757812,145.65496826171875,152.8070068359375,137.7630615234375,150.93267822265625,33856,2020-07-13
2020-07-20,135.9444580078125,137.61508178710938,149.15699768066406,133.5704803466797,139.19346618652344,9868,2020-07-20
2020-07-27,119.8650131225586,121.3380355834961,142.94212341308594,119.8582992553711,138.10833740234375,9585,2020-07-27
2020-08-03,121.81405639648438,123.3110122680664,132.09075927734375,116.40559387207031,127.2569580078125,13096,2020-08-03
2020-08-10,143.8380126953125,145.6056365966797,147.2826690673828,118.37857055664062,122.32452392578125,27739,2020-08-10
2020-08-17,152.26754760742188,154.13876342773438,158.8245849609375,141.75833129882812,152.70835876464844,27464,2020-08-17
2020-08-24,151.14686584472656,153.00430297851562,161.4387664794922,143.58334350585938,158.72593688964844,35638,2020-08-24
2020-08-31,149.14910888671875,150.98199462890625,155.76646423339844,141.56103515625,153.8921356201172,18848,2020-08-31
2020-09-07,147.9309844970703,149.74888610839844,152.75767517089844,141.0677947998047,147.97320556640625,27292,2020-09-07
2020-09-14,183.93919372558594,186.19961547851562,186.19961547851562,149.45294189453125,151.67254638671875,111265,2020-09-14
2020-09-21,148.3695068359375,150.19281005859375,192.36517333984375,149.25564575195312,192.36517333984375,38727,2020-09-21
2020-09-28,150.0749053955078,151.91915893554688,157.73944091796875,148.46646118164062,155.66781616210938,6956,2020-09-28
2020-10-05,161.62286376953125,163.60903930664062,182.4509735107422,149.94618225097656,155.8157958984375,20264,2020-10-05
2020-10-12,158.406982421875,160.3536376953125,170.6624298095703,152.41241455078125,170.6131134033203,10666,2020-10-12
2020-10-19,160.7945556640625,162.77053833007812,167.50567626953125,157.8380889892578,160.8468780517578,6546,2020-10-19
2020-10-26,154.80130004882812,156.70362854003906,177.3705596923828,155.125244140625,177.3705596923828,20690,2020-10-26
2020-11-02,152.85226440429688,154.73065185546875,164.151611328125,149.25564575195312,154.97727966308594,8843,2020-11-02
2020-11-09,151.14686584472656,153.00430297851562,159.26849365234375,148.95970153808594,159.26849365234375,14044,2020-11-09
2020-11-16,157.87098693847656,159.81106567382812,161.78404235839844,147.97320556640625,151.96849060058594,19422,2020-11-16
2020-11-23,169.3702392578125,171.45162963867188,182.40164184570312,159.81106567382812,160.7975616455078,46180,2020-11-23
2020-11-30,179.3590087890625,181.56312561035156,189.89895629882812,171.45162963867188,171.45162963867188,29342,2020-11-30
2020-12-07,204.598876953125,207.11317443847656,245.63552856445312,182.155029296875,187.4327392578125,61998,2020-12-07
2020-12-14,207.61984252929688,210.17127990722656,220.97332763671875,198.2841033935547,218.90170288085938,21664,2020-12-14
2020-12-21,204.5014190673828,207.0145263671875,215.0543975830078,178.7023162841797,215.0543975830078,19031,2020-12-21
2020-12-28,220.04489135742188,222.74900817871094,236.7078094482422,198.53073120117188,198.53073120117188,25627,2020-12-28
2021-01-04,252.25250244140625,255.35243225097656,271.0869140625,210.5165557861328,238.6314697265625,66283,2021-01-04
2021-01-11,231.34922790527344,234.1922607421875,256.33892822265625,232.86050415039062,251.55445861816406,18675,2021-01-11
2021-01-18,250.0111541748047,253.08351135253906,280.9518127441406,220.97332763671875,232.1699676513672,48020,2021-01-18
2021-01-25,232.37245178222656,235.2280731201172,260.18621826171875,226.8922576904297,255.5004119873047,13206,2021-01-25
2021-02-01,235.24728393554688,238.13821411132812,254.41526794433594,233.6497039794922,235.3760528564453,9169,2021-02-01
2021-02-08,251.716552734375,254.80987548828125,271.2842102050781,232.81118774414062,246.1781005859375,19518,2021-02-08
2021-02-15,286.993896484375,290.520751953125,305.8113098144531,251.55445861816406,260.432861328125,93794,2021-02-15
2021-02-22,285.2397766113281,288.74505615234375,317.649169921875,286.08154296875,317.649169921875,27886,2021-02-22
2021-03-01,280.1723327636719,283.6153259277344,318.09307861328125,272.517333984375,292.19775390625,31672,2021-03-01
2021-03-08,277.6872863769531,281.0997619628906,303.4930419921875,276.61126708984375,282.8754577636719,18759,2021-03-08
2021-03-15,267.9908752441406,271.2842102050781,290.8166809082031,263.3923034667969,290.8166809082031,16814,2021-03-15
2021-03-22,266.2854919433594,269.557861328125,291.01397705078125,261.4193420410156,286.0322265625,33366,2021-03-22
2021-03-29,263.1165771484375,266.3500061035156,285.0,254.64999389648438,269.557861328125,6541,2021-03-29
2021-04-05,280.30535888671875,283.75,285.0,249.9499969482422,271.04998779296875,30665,2021-04-05
2021-04-12,356.07421875,360.45001220703125,360.45001220703125,268.0,268.0,73788,2021-04-12
2021-04-19,327.6732482910156,331.70001220703125,435.0,328.04998779296875,379.79998779296875,631868,2021-04-19
2021-04-26,310.8302001953125,314.6499938964844,337.3999938964844,306.79998779296875,331.0,89760,2021-04-26
2021-05-03,299.3216552734375,303.0,317.8500061035156,299.6499938964844,315.0,44648,2021-05-03
2021-05-10,293.888427734375,297.5,305.5,295.1000061035156,303.04998779296875,22849,2021-05-10
2021-05-17,287.4179992675781,290.95001220703125,309.95001220703125,282.6000061035156,297.5,41092,2021-05-17
2021-05-24,278.7247619628906,282.1499938964844,290.95001220703125,276.0,290.95001220703125,47904,2021-05-24
2021-05-31,297.4447326660156,301.1000061035156,301.1000061035156,271.54998779296875,285.20001220703125,43251,2021-05-31
2021-06-07,364.1746520996094,368.6499938964844,368.79998779296875,310.0,315.95001220703125,122570,2021-06-07
2021-06-14,355.6297302246094,360.0,389.6499938964844,343.54998779296875,369.0,53696,2021-06-14
