Date,Adj Close_GANECOS.NS,Close_GANECOS.NS,High_GANECOS.NS,Low_GANECOS.NS,Open_GANECOS.NS,Volume_GANECOS.NS,Date
2020-07-13,226.61801147460938,231.0500030517578,241.9499969482422,223.39999389648438,223.39999389648438,54128,2020-07-13
2020-07-20,213.67123413085938,217.85000610351562,237.89999389648438,217.0,226.14999389648438,36086,2020-07-20
2020-07-27,230.34512329101562,234.85000610351562,239.39999389648438,214.89999389648438,217.10000610351562,62258,2020-07-27
2020-08-03,222.3514404296875,226.6999969482422,237.0,220.9499969482422,237.0,40987,2020-08-03
2020-08-10,220.0955352783203,224.39999389648438,233.35000610351562,214.0,227.0,52052,2020-08-10
2020-08-17,261.6332092285156,266.75,279.29998779296875,225.10000610351562,228.9499969482422,630924,2020-08-17
2020-08-24,288.998046875,294.6499938964844,302.0,257.0,269.70001220703125,360351,2020-08-24
2020-08-31,257.80804443359375,262.8500061035156,294.0,256.04998779296875,292.8500061035156,117946,2020-08-31
2020-09-07,251.0403594970703,255.9499969482422,271.1499938964844,253.0,268.95001220703125,72874,2020-09-07
2020-09-14,269.43072509765625,274.70001220703125,278.3500061035156,262.20001220703125,262.8999938964844,71243,2020-09-14
2020-09-21,253.56117248535156,256.5,274.6499938964844,246.14999389648438,274.6499938964844,64956,2020-09-21
2020-09-28,255.58766174316406,258.54998779296875,269.8999938964844,252.6999969482422,264.95001220703125,131090,2020-09-28
2020-10-05,257.3670349121094,260.3500061035156,266.70001220703125,249.9499969482422,266.70001220703125,124258,2020-10-05
2020-10-12,250.10125732421875,253.0,262.54998779296875,246.0,262.54998779296875,14243,2020-10-12
2020-10-19,256.5267639160156,259.5,262.29998779296875,245.25,248.0500030517578,126766,2020-10-19
2020-10-26,265.3742370605469,268.45001220703125,294.79998779296875,250.14999389648438,258.0,112331,2020-10-26
2020-11-02,263.5948181152344,266.6499938964844,280.20001220703125,260.0,263.04998779296875,82226,2020-11-02
2020-11-09,277.9781799316406,281.20001220703125,290.0,256.70001220703125,266.6499938964844,193746,2020-11-09
2020-11-16,309.3149108886719,312.8999938964844,314.8999938964844,275.8999938964844,275.8999938964844,106376,2020-11-16
2020-11-23,323.2533874511719,327.0,331.20001220703125,299.04998779296875,316.1499938964844,127347,2020-11-23
2020-11-30,344.8530578613281,348.8500061035156,355.0,327.0,327.0,205398,2020-11-30
2020-12-07,324.93389892578125,328.70001220703125,350.04998779296875,326.8500061035156,350.0,95257,2020-12-07
2020-12-14,322.90740966796875,326.6499938964844,339.79998779296875,319.95001220703125,327.5,173158,2020-12-14
2020-12-21,343.51849365234375,347.5,349.70001220703125,315.6499938964844,339.6000061035156,129101,2020-12-21
2020-12-28,417.0660705566406,421.8999938964844,426.8999938964844,347.5,351.8999938964844,408572,2020-12-28
2021-01-04,429.3734436035156,434.3500061035156,474.0,430.0,430.0,661717,2021-01-04
2021-01-11,434.85986328125,439.8999938964844,494.0,435.0,435.0,365894,2021-01-11
2021-01-18,470.0519714355469,475.5,502.0,435.29998779296875,440.45001220703125,464404,2021-01-18
2021-01-25,452.65362548828125,457.8999938964844,485.0,440.1499938964844,479.8999938964844,169002,2021-01-25
2021-02-01,477.07061767578125,482.6000061035156,495.0,442.0,461.5,902189,2021-02-01
2021-02-08,534.9003295898438,541.0999755859375,568.5999755859375,479.0,490.0,744893,2021-02-08
2021-02-15,584.8712768554688,591.6500244140625,600.0,531.0999755859375,546.5,256625,2021-02-15
2021-02-22,581.9549560546875,588.7000122070312,620.0,570.0999755859375,586.0499877929688,239410,2021-02-22
2021-03-01,628.2682495117188,635.5499877929688,688.5,588.0499877929688,596.0,297013,2021-03-01
2021-03-08,616.4057006835938,623.5499877929688,656.0999755859375,617.9000244140625,649.0,96219,2021-03-08
2021-03-15,595.2509155273438,602.1500244140625,633.75,543.25,633.75,175814,2021-03-15
2021-03-22,561.3438720703125,567.8499755859375,608.9500122070312,541.1500244140625,608.9500122070312,162637,2021-03-22
2021-03-29,584.0309448242188,590.7999877929688,606.5999755859375,551.5499877929688,567.8499755859375,146514,2021-03-29
2021-04-05,564.556640625,571.0999755859375,599.9000244140625,560.0,599.9000244140625,93490,2021-04-05
2021-04-12,533.7635498046875,539.9500122070312,590.0,535.0,590.0,68438,2021-04-12
2021-04-19,527.387451171875,533.5,537.8499755859375,511.0,535.0,55738,2021-04-19
2021-04-26,586.2056884765625,593.0,618.4000244140625,522.7999877929688,544.7000122070312,209448,2021-04-26
2021-05-03,579.1376342773438,585.8499755859375,589.9000244140625,559.4000244140625,588.0,79711,2021-05-03
2021-05-10,565.0014038085938,571.5499877929688,599.0,563.0,589.9000244140625,58964,2021-05-10
2021-05-17,608.34912109375,615.4000244140625,625.0,570.0499877929688,584.4000244140625,158079,2021-05-17
2021-05-24,556.54931640625,563.0,602.2999877929688,551.2000122070312,602.2999877929688,133570,2021-05-24
2021-05-31,549.53076171875,555.9000244140625,573.9500122070312,536.9000244140625,573.8499755859375,275431,2021-05-31
2021-06-07,544.5386352539062,550.8499755859375,572.25,546.5499877929688,556.0,173857,2021-06-07
2021-06-14,528.2276000976562,534.3499755859375,555.3499755859375,521.0,548.8499755859375,81992,2021-06-14
2021-06-21,523.9769287109375,530.0499877929688,545.0,524.0,530.0,70108,2021-06-21
2021-06-28,533.516357421875,539.7000122070312,546.7000122070312,508.1000061035156,541.9500122070312,111456,2021-06-28
2021-07-05,501.9818420410156,507.79998779296875,549.9000244140625,503.3999938964844,545.0,140540,2021-07-05
2021-07-12,502.4761657714844,508.29998779296875,517.6500244140625,500.6000061035156,507.3999938964844,74702,2021-07-12
2021-07-19,496.5943298339844,502.3500061035156,516.4000244140625,492.8500061035156,501.29998779296875,75211,2021-07-19
2021-07-26,513.8938598632812,519.8499755859375,534.0,496.04998779296875,508.8999938964844,153964,2021-07-26
2021-08-02,524.6690063476562,530.75,602.0,516.0,527.0,653687,2021-08-02
2021-08-09,533.3186645507812,539.5,548.4000244140625,501.0,510.0,150168,2021-08-09
2021-08-16,500.2025146484375,506.0,549.5,501.20001220703125,549.5,72546,2021-08-16
2021-08-23,510.3350830078125,516.25,525.0,490.04998779296875,524.9000244140625,63157,2021-08-23
2021-08-30,509.1868591308594,513.0499877929688,529.1500244140625,505.75,520.0,63920,2021-08-30
2021-09-06,505.7629089355469,509.6000061035156,528.9000244140625,497.0,519.0,76710,2021-09-06
2021-09-13,488.04730224609375,491.75,514.7000122070312,488.29998779296875,510.0,132902,2021-09-13
2021-09-20,496.4337158203125,500.20001220703125,524.5499877929688,474.04998779296875,497.54998779296875,169815,2021-09-20
2021-09-27,493.60516357421875,497.3500061035156,509.20001220703125,486.6000061035156,500.0,50845,2021-09-27
2021-10-04,522.337158203125,526.2999877929688,560.0,484.79998779296875,503.75,239044,2021-10-04
2021-10-11,478.91656494140625,482.54998779296875,528.4500122070312,479.79998779296875,516.5999755859375,471641,2021-10-11
2021-10-18,497.0291442871094,500.79998779296875,522.0,483.0,484.95001220703125,375940,2021-10-18
