Date,Adj Close_GROBTEA.NS,Close_GROBTEA.NS,High_GROBTEA.NS,Low_GROBTEA.NS,Open_GROBTEA.NS,Volume_GROBTEA.NS,Date
2020-07-13,373.541259765625,378.54998779296875,397.0,361.0,386.0,189,2020-07-13
2020-07-20,393.2766418457031,398.54998779296875,410.0,361.5,375.0,1274,2020-07-20
2020-07-27,442.2203369140625,448.1499938964844,512.9000244140625,374.54998779296875,398.54998779296875,8443,2020-07-27
2020-08-03,427.6162109375,433.3500061035156,470.8500061035156,419.0,448.1499938964844,1783,2020-08-03
2020-08-10,434.1288757324219,439.95001220703125,470.0,414.1000061035156,414.1000061035156,1013,2020-08-10
2020-08-17,698.286865234375,707.6500244140625,707.6500244140625,424.0,449.0,31104,2020-08-17
2020-08-24,800.61474609375,811.3499755859375,899.0,722.9500122070312,778.4000244140625,11992,2020-08-24
2020-08-31,619.641357421875,627.9500122070312,770.7999877929688,627.9500122070312,770.7999877929688,609,2020-08-31
2020-09-07,568.9707641601562,576.5999755859375,657.0,556.7000122070312,596.5999755859375,6124,2020-09-07
2020-09-14,535.8648071289062,543.0499877929688,616.0,526.0,550.2000122070312,3658,2020-09-14
2020-09-21,492.15087890625,498.75,543.0499877929688,456.0,543.0499877929688,1371,2020-09-21
2020-09-28,525.415771484375,530.5,554.0,496.8500061035156,521.9500122070312,993,2020-09-28
2020-10-05,542.9956665039062,548.25,550.0,506.0,530.5,1095,2020-10-05
2020-10-12,502.5372314453125,507.3999938964844,565.0,498.0,521.5,1044,2020-10-12
2020-10-19,469.209716796875,473.75,497.8500061035156,460.75,495.0,724,2020-10-19
2020-10-26,476.4892883300781,481.1000061035156,507.8999938964844,460.0,473.75,299,2020-10-26
2020-11-02,482.1346130371094,486.79998779296875,503.0,447.1000061035156,471.0,1732,2020-11-02
2020-11-09,571.8168334960938,577.3499755859375,577.3499755859375,463.0,464.0,3676,2020-11-09
2020-11-16,673.7801513671875,680.2999877929688,701.7000122070312,549.9000244140625,549.9000244140625,6183,2020-11-16
2020-11-23,590.2880859375,596.0,714.0,575.0,714.0,6796,2020-11-23
2020-11-30,587.6139526367188,593.2999877929688,619.0,570.0,596.0,2495,2020-11-30
2020-12-07,593.2593383789062,599.0,652.3499755859375,534.9000244140625,593.5,4089,2020-12-07
2020-12-14,577.4126586914062,583.0,639.0,571.0499877929688,586.9500122070312,1880,2020-12-14
2020-12-21,646.0980224609375,652.3499755859375,652.3499755859375,546.0499877929688,579.9500122070312,4833,2020-12-21
2020-12-28,896.5248413085938,905.2000122070312,911.9000244140625,688.0,714.7000122070312,20619,2020-12-28
2021-01-04,953.671875,962.9000244140625,987.0,865.4500122070312,905.2000122070312,9925,2021-01-04
2021-01-11,761.3825073242188,768.75,985.0,765.75,934.9500122070312,5115,2021-01-11
2021-01-18,807.6349487304688,815.4500122070312,880.0,730.3499755859375,796.0,4152,2021-01-18
2021-01-25,789.9559326171875,797.5999755859375,840.7999877929688,781.0,817.9500122070312,1098,2021-01-25
2021-02-01,830.018310546875,838.0499877929688,859.0,760.0,828.0,2821,2021-02-01
