Date,Adj Close_AJANTPHARM.NS,Close_AJANTPHARM.NS,High_AJANTPHARM.NS,Low_AJANTPHARM.NS,Open_AJANTPHARM.NS,Volume_AJANTPHARM.NS,Date
2025-03-10,2538.25,2538.25,2616.89990234375,2430.25,2560.050048828125,456140,2025-03-10
2025-03-17,2714.10009765625,2714.10009765625,2881.5,2517.89990234375,2559.75,1273604,2025-03-17
2025-03-24,2623.0,2623.0,2796.0,2593.699951171875,2759.0,577220,2025-03-24
2025-03-31,2485.25,2485.25,2706.699951171875,2475.0,2623.0,360498,2025-03-31
2025-04-07,2565.39990234375,2565.39990234375,2579.64990234375,2327.300048828125,2349.10009765625,356499,2025-04-07
2025-04-14,2694.60009765625,2694.60009765625,2705.0,2585.0,2619.89990234375,253291,2025-04-14
2025-04-21,2676.0,2676.0,2829.39990234375,2652.10009765625,2731.89990234375,476397,2025-04-21
2025-04-28,2590.89990234375,2590.89990234375,2801.39990234375,2555.800048828125,2680.10009765625,467736,2025-04-28
2025-05-05,2537.89990234375,2537.89990234375,2623.39990234375,2468.39990234375,2588.800048828125,346307,2025-05-05
2025-05-12,2603.60009765625,2603.60009765625,2614.0,2471.0,2539.89990234375,632539,2025-05-12
2025-05-19,2574.89990234375,2574.89990234375,2699.0,2548.199951171875,2600.0,375735,2025-05-19
2025-05-26,2510.800048828125,2510.800048828125,2660.89990234375,2502.10009765625,2580.0,261946,2025-05-26
2025-06-02,2571.300048828125,2571.300048828125,2649.0,2506.89990234375,2510.800048828125,661393,2025-06-02
2025-06-09,2634.199951171875,2634.199951171875,2764.60009765625,2562.10009765625,2572.0,866891,2025-06-09
2025-06-16,2588.199951171875,2588.199951171875,2664.89990234375,2516.5,2649.89990234375,577037,2025-06-16
2025-06-23,2520.699951171875,2520.699951171875,2628.0,2506.10009765625,2559.60009765625,745197,2025-06-23
2025-06-30,2695.5,2695.5,2710.0,2494.0,2550.0,1023622,2025-06-30
2025-07-07,2626.5,2626.5,2718.5,2578.5,2699.5,872845,2025-07-07
2025-07-14,2697.699951171875,2697.699951171875,2715.39990234375,2592.10009765625,2626.5,838146,2025-07-14
