Date,Adj Close_SHK.NS,Close_SHK.NS,High_SHK.NS,Low_SHK.NS,Open_SHK.NS,Volume_SHK.NS,Date
2020-07-13,67.9302749633789,70.55000305175781,73.69999694824219,67.75,71.5,7331599,2020-07-13
2020-07-20,73.90006256103516,76.75,80.69999694824219,69.25,70.5,20512800,2020-07-20
2020-07-27,68.94129943847656,71.5999984741211,77.30000305175781,71.19999694824219,77.0,3711727,2020-07-27
2020-08-03,76.69237518310547,79.6500015258789,83.5999984741211,71.05000305175781,71.05000305175781,10257521,2020-08-03
2020-08-10,73.94821166992188,76.80000305175781,82.9000015258789,76.05000305175781,80.05000305175781,7090377,2020-08-10
2020-08-17,81.74742889404297,84.9000015258789,88.4000015258789,76.3499984741211,77.69999694824219,8743934,2020-08-17
2020-08-24,81.6030044555664,84.75,90.80000305175781,83.30000305175781,86.0,5581996,2020-08-24
2020-08-31,78.56996154785156,81.5999984741211,86.5,78.0999984741211,85.0,2478038,2020-08-31
2020-09-07,76.49980163574219,79.44999694824219,83.5999984741211,76.55000305175781,81.94999694824219,2384190,2020-09-07
2020-09-14,83.04729461669922,86.25,87.5,79.5,80.0999984741211,3847456,2020-09-14
2020-09-21,77.944091796875,80.94999694824219,88.0,76.0,87.44999694824219,2215433,2020-09-21
2020-09-28,79.38839721679688,82.44999694824219,85.44999694824219,80.55000305175781,82.44999694824219,1254557,2020-09-28
2020-10-05,89.25778198242188,92.69999694824219,95.94999694824219,82.1500015258789,83.5,6059097,2020-10-05
2020-10-12,83.96202087402344,87.19999694824219,96.0,84.25,93.69999694824219,2796931,2020-10-12
2020-10-19,85.5988998413086,88.9000015258789,91.5,84.5,87.69999694824219,1839998,2020-10-19
2020-10-26,82.08442687988281,85.25,89.4000015258789,84.0999984741211,89.4000015258789,1348525,2020-10-26
2020-11-02,85.40631866455078,88.69999694824219,90.3499984741211,83.0,85.5999984741211,1641380,2020-11-02
2020-11-09,116.55508422851562,121.05000305175781,123.75,88.25,88.25,15813657,2020-11-09
2020-11-16,118.04751586914062,122.5999984741211,138.5,114.75,117.0,7873320,2020-11-16
2020-11-23,126.47261810302734,130.35000610351562,133.60000610351562,120.1500015258789,123.25,3697920,2020-11-23
2020-11-30,132.53671264648438,136.60000610351562,141.60000610351562,130.25,130.35000610351562,3172485,2020-11-30
2020-12-07,122.5430908203125,126.30000305175781,140.6999969482422,123.19999694824219,137.5,2048293,2020-12-07
2020-12-14,112.0643310546875,115.5,128.6999969482422,108.0,126.94999694824219,6056613,2020-12-14
2020-12-21,118.17694854736328,121.80000305175781,125.0,106.69999694824219,115.94999694824219,5678277,2020-12-21
2020-12-28,119.38976287841797,123.05000305175781,125.9000015258789,118.25,122.5,1877148,2020-12-28
2021-01-04,132.19712829589844,136.25,141.39999389648438,120.05000305175781,123.5,6066681,2021-01-04
2021-01-11,123.56184387207031,127.3499984741211,135.9499969482422,124.19999694824219,135.9499969482422,2666778,2021-01-11
2021-01-18,119.09868621826172,122.75,130.0,122.3499984741211,130.0,1794344,2021-01-18
2021-01-25,117.44924926757812,121.05000305175781,125.75,117.05000305175781,123.94999694824219,1404175,2021-01-25
2021-02-01,121.03919219970703,124.75,128.60000610351562,119.0,119.80000305175781,2042585,2021-02-01
2021-02-08,117.30370330810547,120.9000015258789,130.0,119.4000015258789,125.44999694824219,3128003,2021-02-08
2021-02-15,115.70278930664062,119.25,123.9000015258789,118.55000305175781,122.5,1575081,2021-02-15
2021-02-22,114.34442901611328,117.8499984741211,121.0,115.5999984741211,119.30000305175781,2017522,2021-02-22
2021-03-01,115.07211303710938,118.5999984741211,122.75,117.25,117.94999694824219,1426208,2021-03-01
2021-03-08,118.07990264892578,121.69999694824219,125.80000305175781,119.5999984741211,123.0,3484538,2021-03-08
2021-03-15,112.01582336425781,115.44999694824219,123.19999694824219,106.0,123.0,1663639,2021-03-15
