Date,Adj Close_VERANDA.NS,Close_VERANDA.NS,High_VERANDA.NS,Low_VERANDA.NS,Open_VERANDA.NS,Volume_VERANDA.NS,Date
2022-04-11,144.64999389648438,144.64999389648438,144.64999389648438,125.0,125.0,3064988,2022-04-11
2022-04-18,184.4499969482422,184.4499969482422,184.4499969482422,151.85000610351562,151.85000610351562,259711,2022-04-18
2022-04-25,270.5,270.5,270.5,193.64999389648438,193.64999389648438,1074912,2022-04-25
2022-05-02,253.25,253.25,298.20001220703125,252.8000030517578,284.0,2814228,2022-05-02
2022-05-09,207.35000610351562,207.35000610351562,247.8000030517578,196.0500030517578,241.5500030517578,2181206,2022-05-09
2022-05-16,193.1999969482422,193.1999969482422,219.89999389648438,189.5500030517578,206.25,1453689,2022-05-16
2022-05-23,197.64999389648438,197.64999389648438,202.6999969482422,175.0,191.0,1543546,2022-05-23
2022-05-30,237.75,237.75,246.89999389648438,199.25,201.85000610351562,1409712,2022-05-30
2022-06-06,241.8000030517578,241.8000030517578,247.0500030517578,220.5,235.0,778474,2022-06-06
2022-06-13,249.6999969482422,249.6999969482422,266.20001220703125,224.4499969482422,241.0,1320930,2022-06-13
2022-06-20,225.89999389648438,225.89999389648438,251.0,218.39999389648438,247.0,560249,2022-06-20
2022-06-27,233.89999389648438,233.89999389648438,246.0500030517578,226.0,229.5,546022,2022-06-27
2022-07-04,216.39999389648438,216.39999389648438,240.39999389648438,210.64999389648438,233.0,759270,2022-07-04
2022-07-11,227.75,227.75,235.8000030517578,217.5500030517578,218.6999969482422,532844,2022-07-11
2022-07-18,230.5,230.5,238.8000030517578,221.5500030517578,231.0,570583,2022-07-18
2022-07-25,260.6499938964844,260.6499938964844,278.3999938964844,226.5500030517578,228.10000610351562,1622555,2022-07-25
2022-08-01,256.3999938964844,256.3999938964844,273.0,247.89999389648438,264.3999938964844,872102,2022-08-01
2022-08-08,269.95001220703125,269.95001220703125,282.0,233.14999389648438,259.0,1211641,2022-08-08
2022-08-15,274.6000061035156,274.6000061035156,294.0,256.6499938964844,269.95001220703125,975780,2022-08-15
2022-08-22,285.04998779296875,285.04998779296875,318.5,276.45001220703125,276.8999938964844,2047187,2022-08-22
2022-08-29,317.8999938964844,317.8999938964844,325.0,274.8500061035156,275.0,1261085,2022-08-29
2022-09-05,337.45001220703125,337.45001220703125,346.0,314.0,325.0,1591396,2022-09-05
2022-09-12,356.54998779296875,356.54998779296875,380.0,327.1499938964844,346.45001220703125,3050592,2022-09-12
2022-09-19,324.29998779296875,324.29998779296875,372.1499938964844,316.5,364.0,913526,2022-09-19
2022-09-26,328.20001220703125,328.20001220703125,333.0,298.1000061035156,332.95001220703125,984935,2022-09-26
2022-10-03,337.8999938964844,337.8999938964844,340.0,320.0,332.5,619271,2022-10-03
2022-10-10,326.8500061035156,326.8500061035156,360.20001220703125,317.04998779296875,335.0,1612645,2022-10-10
2022-10-17,336.8500061035156,336.8500061035156,342.0,318.04998779296875,325.0,1040854,2022-10-17
2022-10-24,328.0,328.0,340.8500061035156,319.0,338.79998779296875,568989,2022-10-24
2022-10-31,301.25,301.25,330.75,289.79998779296875,330.75,996024,2022-10-31
2022-11-07,304.70001220703125,304.70001220703125,321.5,297.04998779296875,302.0,612039,2022-11-07
2022-11-14,274.1000061035156,274.1000061035156,314.3999938964844,237.5500030517578,304.45001220703125,1050032,2022-11-14
2022-11-21,281.8999938964844,281.8999938964844,289.95001220703125,264.1000061035156,276.5,940271,2022-11-21
2022-11-28,288.45001220703125,288.45001220703125,297.8500061035156,277.54998779296875,284.5,608561,2022-11-28
2022-12-05,276.8500061035156,276.8500061035156,293.45001220703125,261.95001220703125,290.45001220703125,524388,2022-12-05
2022-12-12,281.3500061035156,281.3500061035156,297.95001220703125,267.25,275.0,564776,2022-12-12
2022-12-19,229.0500030517578,229.0500030517578,287.0,225.0,277.8999938964844,571740,2022-12-19
2022-12-26,246.89999389648438,246.89999389648438,255.60000610351562,230.25,235.0,524647,2022-12-26
2023-01-02,244.35000610351562,244.35000610351562,274.54998779296875,242.60000610351562,251.6999969482422,507067,2023-01-02
2023-01-09,264.29998779296875,264.29998779296875,274.0,246.0500030517578,248.0,535838,2023-01-09
2023-01-16,260.70001220703125,260.70001220703125,276.3999938964844,251.0,268.20001220703125,810675,2023-01-16
2023-01-23,232.0500030517578,232.0500030517578,265.29998779296875,222.1999969482422,263.0,573316,2023-01-23
2023-01-30,198.25,198.25,237.8000030517578,194.3000030517578,232.0,563865,2023-01-30
2023-02-06,225.89999389648438,225.89999389648438,237.4499969482422,199.25,199.8000030517578,843622,2023-02-06
2023-02-13,202.85000610351562,202.85000610351562,225.89999389648438,197.5,222.39999389648438,425718,2023-02-13
2023-02-20,197.75,197.75,208.39999389648438,185.4499969482422,204.60000610351562,502032,2023-02-20
2023-02-27,185.0,185.0,203.75,178.25,197.75,397809,2023-02-27
2023-03-06,201.0500030517578,201.0500030517578,207.64999389648438,183.14999389648438,187.75,541892,2023-03-06
2023-03-13,187.1999969482422,187.1999969482422,202.85000610351562,180.25,202.85000610351562,323863,2023-03-13
2023-03-20,174.64999389648438,174.64999389648438,187.75,168.6999969482422,182.25,410852,2023-03-20
2023-03-27,204.39999389648438,204.39999389648438,207.0,159.6999969482422,172.3000030517578,852820,2023-03-27
2023-04-03,202.5500030517578,202.5500030517578,210.0,199.14999389648438,208.0,147406,2023-04-03
2023-04-10,192.0500030517578,192.0500030517578,205.0,190.0,205.0,83721,2023-04-10
2023-04-17,188.1999969482422,188.1999969482422,205.0,185.85000610351562,194.85000610351562,360938,2023-04-17
2023-04-24,184.9499969482422,184.9499969482422,194.8000030517578,184.3000030517578,188.1999969482422,226717,2023-04-24
2023-05-01,181.3000030517578,181.3000030517578,188.3000030517578,178.60000610351562,184.9499969482422,235630,2023-05-01
2023-05-08,200.9499969482422,200.9499969482422,207.8000030517578,177.5500030517578,177.5500030517578,354565,2023-05-08
2023-05-15,199.4499969482422,199.4499969482422,218.0,195.35000610351562,204.0,446953,2023-05-15
2023-05-22,196.0,196.0,211.9499969482422,193.10000610351562,200.0,298414,2023-05-22
2023-05-29,180.4499969482422,180.4499969482422,202.0,179.5,196.0,468727,2023-05-29
2023-06-05,167.64999389648438,167.64999389648438,184.6999969482422,166.64999389648438,183.0,547082,2023-06-05
2023-06-12,166.1999969482422,166.1999969482422,173.9499969482422,160.0,168.5,725960,2023-06-12
2023-06-19,165.75,165.75,175.8000030517578,164.0500030517578,171.0,324668,2023-06-19
2023-06-26,184.6999969482422,184.6999969482422,188.0,165.0500030517578,166.3000030517578,637203,2023-06-26
2023-07-03,186.0,186.0,198.60000610351562,183.85000610351562,187.4499969482422,625041,2023-07-03
2023-07-10,184.64999389648438,184.64999389648438,185.9499969482422,175.9499969482422,185.9499969482422,255400,2023-07-10
2023-07-17,184.9499969482422,184.9499969482422,197.4499969482422,182.3000030517578,190.0,423037,2023-07-17
2023-07-24,180.5,180.5,185.25,177.10000610351562,182.1999969482422,300534,2023-07-24
2023-07-31,215.64999389648438,215.64999389648438,223.39999389648438,180.0,180.5,3864689,2023-07-31
2023-08-07,206.0500030517578,206.0500030517578,225.0,205.0,220.10000610351562,1033545,2023-08-07
2023-08-14,192.6999969482422,192.6999969482422,210.0,191.10000610351562,206.85000610351562,355599,2023-08-14
2023-08-21,198.85000610351562,198.85000610351562,208.0,191.60000610351562,194.35000610351562,365264,2023-08-21
2023-08-28,198.85000610351562,198.85000610351562,204.89999389648438,195.8000030517578,198.85000610351562,309855,2023-08-28
2023-09-04,199.0500030517578,199.0500030517578,206.39999389648438,191.3000030517578,201.85000610351562,611809,2023-09-04
2023-09-11,191.60000610351562,191.60000610351562,211.4499969482422,189.5,201.5,999570,2023-09-11
2023-09-18,184.64999389648438,184.64999389648438,195.89999389648438,184.0500030517578,189.39999389648438,218907,2023-09-18
2023-09-25,201.0500030517578,201.0500030517578,206.0,180.75,185.5500030517578,481984,2023-09-25
2023-10-02,189.8000030517578,189.8000030517578,201.0500030517578,187.25,201.0500030517578,610932,2023-10-02
2023-10-09,185.5,185.5,192.3000030517578,183.0,188.0,496991,2023-10-09
2023-10-16,183.75,183.75,191.64999389648438,182.39999389648438,186.0,302307,2023-10-16
2023-10-23,184.10000610351562,184.10000610351562,187.1999969482422,168.3000030517578,186.25,311795,2023-10-23
2023-10-30,187.4499969482422,187.4499969482422,190.0,174.0,184.0,161023,2023-10-30
2023-11-06,198.35000610351562,198.35000610351562,224.0,186.1999969482422,191.10000610351562,2188045,2023-11-06
2023-11-13,262.8500061035156,262.8500061035156,281.0,193.1999969482422,204.0,7027212,2023-11-13
2023-11-20,280.1499938964844,280.1499938964844,289.8999938964844,259.0,265.70001220703125,1989892,2023-11-20
2023-11-27,280.6000061035156,280.6000061035156,289.0,269.04998779296875,280.1499938964844,993575,2023-11-27
2023-12-04,315.3999938964844,315.3999938964844,326.0,273.0,286.0,3210968,2023-12-04
2023-12-11,312.1000061035156,312.1000061035156,336.8999938964844,310.25,317.95001220703125,1982505,2023-12-11
2023-12-18,300.25,300.25,327.0,276.6000061035156,315.1000061035156,1789084,2023-12-18
2023-12-25,287.0,287.0,304.79998779296875,284.75,300.25,969232,2023-12-25
2024-01-01,276.20001220703125,276.20001220703125,297.0,273.8999938964844,291.3500061035156,682872,2024-01-01
2024-01-08,317.1499938964844,317.1499938964844,324.70001220703125,266.3500061035156,278.3999938964844,5623541,2024-01-08
2024-01-15,285.8500061035156,285.8500061035156,317.1499938964844,279.04998779296875,317.1499938964844,1130566,2024-01-15
2024-01-22,283.04998779296875,283.04998779296875,304.0,272.8500061035156,285.8500061035156,688059,2024-01-22
2024-01-29,276.6000061035156,276.6000061035156,295.0,269.70001220703125,286.8999938964844,1079263,2024-01-29
2024-02-05,242.0,242.0,288.0,238.5,281.8999938964844,1586416,2024-02-05
2024-02-12,225.75,225.75,247.89999389648438,221.89999389648438,243.39999389648438,640717,2024-02-12
2024-02-19,230.85000610351562,230.85000610351562,242.35000610351562,222.85000610351562,230.0,839609,2024-02-19
2024-02-26,224.10000610351562,224.10000610351562,249.3000030517578,218.0,232.8000030517578,1504531,2024-02-26
2024-03-04,211.39999389648438,211.39999389648438,222.14999389648438,198.75,221.9499969482422,852523,2024-03-04
2024-03-11,191.89999389648438,191.89999389648438,215.64999389648438,176.5500030517578,208.10000610351562,1736275,2024-03-11
2024-03-18,191.9499969482422,191.9499969482422,196.75,175.1999969482422,192.89999389648438,1279956,2024-03-18
2024-03-25,178.64999389648438,178.64999389648438,197.5,176.0,191.9499969482422,769005,2024-03-25
2024-04-01,204.64999389648438,204.64999389648438,210.75,181.5500030517578,183.0,1117289,2024-04-01
2024-04-08,197.25,197.25,209.64999389648438,195.0,209.64999389648438,473494,2024-04-08
2024-04-15,184.1999969482422,184.1999969482422,202.89999389648438,179.4499969482422,190.0,838850,2024-04-15
2024-04-22,179.9499969482422,179.9499969482422,194.89999389648438,178.5,184.89999389648438,1088573,2024-04-22
2024-04-29,182.8000030517578,182.8000030517578,187.89999389648438,173.14999389648438,183.9499969482422,1413163,2024-04-29
2024-05-06,171.10000610351562,171.10000610351562,188.6999969482422,170.0,184.0,345773,2024-05-06
2024-05-13,171.35000610351562,171.35000610351562,179.85000610351562,167.5,171.75,272712,2024-05-13
2024-05-20,154.60000610351562,154.60000610351562,170.85000610351562,151.60000610351562,168.6999969482422,435067,2024-05-20
2024-05-27,157.14999389648438,157.14999389648438,185.1999969482422,155.0,155.0,2754003,2024-05-27
2024-06-03,153.85000610351562,153.85000610351562,163.9499969482422,135.0,163.9499969482422,799635,2024-06-03
2024-06-10,173.3000030517578,173.3000030517578,186.19000244140625,152.25,154.39999389648438,2935962,2024-06-10
2024-06-17,178.02000427246094,178.02000427246094,185.22000122070312,166.16000366210938,173.3000030517578,1412659,2024-06-17
2024-06-24,203.52999877929688,203.52999877929688,207.89999389648438,172.00999450683594,177.6999969482422,2122424,2024-06-24
2024-07-01,274.55999755859375,274.55999755859375,287.3999938964844,205.69000244140625,214.0,6908021,2024-07-01
2024-07-08,290.260009765625,290.260009765625,305.0,260.1000061035156,275.0,2414640,2024-07-08
2024-07-15,280.2699890136719,280.2699890136719,305.989990234375,278.5,298.0,1343486,2024-07-15
2024-07-22,282.2200012207031,282.2200012207031,294.2799987792969,275.1000061035156,280.0,658970,2024-07-22
2024-07-29,300.6000061035156,300.6000061035156,301.95001220703125,278.010009765625,278.010009765625,1382097,2024-07-29
2024-08-05,280.70001220703125,280.70001220703125,312.0,275.20001220703125,285.6000061035156,1105366,2024-08-05
2024-08-12,280.54998779296875,280.54998779296875,288.0,258.6000061035156,275.20001220703125,330330,2024-08-12
2024-08-19,290.54998779296875,290.54998779296875,309.25,278.0,280.54998779296875,828908,2024-08-19
2024-08-26,297.79998779296875,297.79998779296875,300.5,280.54998779296875,290.54998779296875,631782,2024-08-26
2024-09-02,341.8500061035156,341.8500061035156,360.25,298.0,299.1499938964844,1812519,2024-09-02
2024-09-09,334.5,334.5,355.0,325.6000061035156,351.0,726451,2024-09-09
2024-09-16,325.79998779296875,325.79998779296875,350.5,310.1000061035156,326.8999938964844,712989,2024-09-16
2024-09-23,310.5,310.5,328.79998779296875,290.70001220703125,325.79998779296875,676953,2024-09-23
2024-09-30,298.45001220703125,298.45001220703125,316.8999938964844,280.75,304.3999938964844,389589,2024-09-30
2024-10-07,276.0,276.0,298.0,265.75,297.0,864295,2024-10-07
2024-10-14,270.25,270.25,279.04998779296875,248.5,273.45001220703125,1168350,2024-10-14
2024-10-21,268.95001220703125,268.95001220703125,292.6000061035156,265.8500061035156,276.95001220703125,1041091,2024-10-21
