Date,Adj Close_DMART.NS,Close_DMART.NS,High_DMART.NS,Low_DMART.NS,Open_DMART.NS,Volume_DMART.NS,Date
2020-07-13,1989.75,1989.75,2195.0,1955.0,2170.0,8141335,2020-07-13
2020-07-20,2031.4000244140625,2031.4000244140625,2148.0,1968.0,1979.9000244140625,6116242,2020-07-20
2020-07-27,2063.449951171875,2063.449951171875,2075.0,2001.5,2044.0,3949891,2020-07-27
2020-08-03,2138.39990234375,2138.39990234375,2191.949951171875,2060.300048828125,2068.699951171875,2664411,2020-08-03
2020-08-10,2178.0,2178.0,2219.89990234375,2100.0,2138.39990234375,2157661,2020-08-10
2020-08-17,2259.449951171875,2259.449951171875,2309.25,2160.0,2181.0,2263419,2020-08-17
2020-08-24,2319.39990234375,2319.39990234375,2445.0,2244.0,2269.949951171875,3978145,2020-08-24
2020-08-31,2251.449951171875,2251.449951171875,2367.85009765625,2183.300048828125,2298.89990234375,4128378,2020-08-31
2020-09-07,2239.35009765625,2239.35009765625,2297.85009765625,2207.60009765625,2270.0,3074744,2020-09-07
2020-09-14,2149.050048828125,2149.050048828125,2258.949951171875,2104.0,2250.0,3857679,2020-09-14
2020-09-21,2102.699951171875,2102.699951171875,2177.0,1995.0999755859375,2175.0,3063301,2020-09-21
2020-09-28,2184.800048828125,2184.800048828125,2242.0,2082.89990234375,2110.89990234375,2179400,2020-09-28
2020-10-05,2057.60009765625,2057.60009765625,2197.14990234375,2035.050048828125,2192.949951171875,2431948,2020-10-05
2020-10-12,1984.199951171875,1984.199951171875,2084.0,1965.0,2072.0,4416225,2020-10-12
2020-10-19,2116.550048828125,2116.550048828125,2170.0,1954.8499755859375,1969.050048828125,6811260,2020-10-19
2020-10-26,2239.89990234375,2239.89990234375,2278.89990234375,2100.35009765625,2120.0,3528216,2020-10-26
2020-11-02,2294.60009765625,2294.60009765625,2325.449951171875,2163.0,2240.0,2741093,2020-11-02
2020-11-09,2374.14990234375,2374.14990234375,2410.0,2283.050048828125,2306.050048828125,1977331,2020-11-09
2020-11-16,2382.60009765625,2382.60009765625,2507.949951171875,2330.0,2383.050048828125,2480076,2020-11-16
2020-11-23,2289.199951171875,2289.199951171875,2429.89990234375,2220.050048828125,2361.10009765625,3155909,2020-11-23
2020-11-30,2441.89990234375,2441.89990234375,2479.300048828125,2289.199951171875,2289.199951171875,2110844,2020-11-30
2020-12-07,2685.10009765625,2685.10009765625,2755.0,2413.0,2441.89990234375,5589164,2020-12-07
2020-12-14,2637.050048828125,2637.050048828125,2745.0,2503.0,2715.0,2673906,2020-12-14
2020-12-21,2673.10009765625,2673.10009765625,2715.0,2460.800048828125,2645.0,2747044,2020-12-21
2020-12-28,2789.10009765625,2789.10009765625,2804.10009765625,2642.35009765625,2685.949951171875,2561397,2020-12-28
2021-01-04,2967.5,2967.5,3100.0,2805.0,2808.0,4404917,2021-01-04
2021-01-11,2820.949951171875,2820.949951171875,3137.0,2801.0,3137.0,4045712,2021-01-11
2021-01-18,2862.75,2862.75,2899.0,2701.0,2800.0,2511024,2021-01-18
2021-01-25,2651.5,2651.5,2940.64990234375,2610.0,2894.0,2531635,2021-01-25
2021-02-01,2946.050048828125,2946.050048828125,2987.0,2640.0,2700.0,3476128,2021-02-01
2021-02-08,2928.89990234375,2928.89990234375,3009.0,2900.0,2948.0,1475532,2021-02-08
2021-02-15,3101.64990234375,3101.64990234375,3242.0,2933.0,2955.0,3681425,2021-02-15
