Date,Adj Close_UTIAMC.NS,Close_UTIAMC.NS,High_UTIAMC.NS,Low_UTIAMC.NS,Open_UTIAMC.NS,Volume_UTIAMC.NS,Date
2020-10-12,457.68829345703125,502.6499938964844,517.9000244140625,477.0,477.8999938964844,5176476,2020-10-12
2020-10-19,453.77294921875,498.3500061035156,506.1000061035156,485.1499938964844,502.95001220703125,1435948,2020-10-19
2020-10-26,454.5013427734375,499.1499938964844,511.95001220703125,490.45001220703125,500.0,915466,2020-10-26
2020-11-02,451.4510498046875,495.79998779296875,507.0,487.0,498.0,786647,2020-11-02
2020-11-09,448.1730651855469,492.20001220703125,501.54998779296875,486.04998779296875,496.0,2594482,2020-11-09
2020-11-16,448.4006652832031,492.45001220703125,495.0,483.1000061035156,487.04998779296875,1311024,2020-11-16
2020-11-23,506.7956237792969,548.5499877929688,561.0499877929688,493.04998779296875,493.8999938964844,5472850,2020-11-23
2020-11-30,497.2796630859375,538.25,555.0,533.0999755859375,548.5499877929688,1425049,2020-11-30
2020-12-07,526.28955078125,569.6500244140625,574.2000122070312,505.0,539.0,4228247,2020-12-07
2020-12-14,507.3500061035156,549.1500244140625,579.7999877929688,540.0,571.0,3092286,2020-12-14
2020-12-21,516.68115234375,559.25,563.0,535.0,546.0,1736011,2020-12-21
2020-12-28,513.586181640625,555.9000244140625,565.5,552.3499755859375,560.0,1126098,2020-12-28
2021-01-04,508.7358093261719,550.6500244140625,560.0,539.4500122070312,557.0,1129016,2021-01-04
2021-01-11,535.2974243164062,579.4000244140625,595.7999877929688,542.2000122070312,545.0,3216455,2021-01-11
2021-01-18,514.2791137695312,556.6500244140625,593.9000244140625,553.7000122070312,576.0,1861141,2021-01-18
2021-01-25,513.8633422851562,556.2000122070312,565.0,548.0,563.8499755859375,961566,2021-01-25
2021-02-01,519.1757202148438,561.9500122070312,572.9000244140625,550.3499755859375,559.8499755859375,1454066,2021-02-01
2021-02-08,522.1321411132812,565.1500244140625,570.25,553.5499877929688,562.0,1407351,2021-02-08
2021-02-15,539.5473022460938,584.0,586.9500122070312,557.0,561.1500244140625,1450677,2021-02-15
2021-02-22,545.0443725585938,589.9500122070312,602.6500244140625,578.9000244140625,586.5,1288001,2021-02-22
2021-03-01,558.02490234375,604.0,610.0,579.9500122070312,589.9500122070312,2430292,2021-03-01
2021-03-08,558.9026489257812,604.9500122070312,624.0,597.5,605.5,664053,2021-03-08
2021-03-15,519.6376342773438,562.4500122070312,605.0,547.5499877929688,604.9500122070312,597996,2021-03-15
2021-03-22,519.221923828125,562.0,569.9000244140625,551.0999755859375,563.9000244140625,632444,2021-03-22
2021-03-29,529.19970703125,572.7999877929688,585.9000244140625,557.0999755859375,562.0,443367,2021-03-29
2021-04-05,541.5797729492188,586.2000122070312,602.5999755859375,560.1500244140625,571.5,998662,2021-04-05
2021-04-12,517.1431274414062,559.75,581.0,538.0,571.0499877929688,879544,2021-04-12
2021-04-19,524.2108154296875,567.4000244140625,573.0,542.25,554.25,818550,2021-04-19
2021-04-26,590.4993896484375,639.1500244140625,649.0,567.4500122070312,568.7999877929688,3138537,2021-04-26
2021-05-03,646.9948120117188,700.2999877929688,704.5,630.4500122070312,635.0999755859375,2589756,2021-05-03
2021-05-10,641.7286376953125,694.5999755859375,720.0,672.0,705.0,1248916,2021-05-10
2021-05-17,695.0828857421875,752.3499755859375,777.0,692.0499877929688,701.0,1448665,2021-05-17
2021-05-24,703.2130126953125,761.1500244140625,770.0,725.0,765.5,1783753,2021-05-24
2021-05-31,702.3353881835938,760.2000122070312,775.0,752.2999877929688,768.75,889235,2021-05-31
2021-06-07,740.02978515625,801.0,838.9500122070312,757.2999877929688,770.0,1750936,2021-06-07
2021-06-14,721.8292236328125,781.2999877929688,815.0,761.0499877929688,805.0,1005724,2021-06-14
2021-06-21,787.6558227539062,852.5499877929688,919.4500122070312,771.0499877929688,779.0,3519212,2021-06-21
2021-06-28,784.6069946289062,849.25,880.0,843.0,852.5999755859375,1891628,2021-06-28
2021-07-05,764.3739624023438,827.3499755859375,865.0,821.25,859.0,1124083,2021-07-05
2021-07-12,812.2311401367188,879.1500244140625,908.0,819.0999755859375,835.0,5269969,2021-07-12
2021-07-19,848.3087768554688,918.2000122070312,948.8499755859375,855.9500122070312,855.9500122070312,3693738,2021-07-19
2021-07-26,981.4321899414062,1041.75,1054.0999755859375,912.9000244140625,924.9500122070312,4694306,2021-07-26
2021-08-02,955.3360595703125,1014.0499877929688,1078.949951171875,1004.9500122070312,1045.0,1669327,2021-08-02
2021-08-09,983.3164672851562,1043.75,1100.0,937.1500244140625,1013.0,1754863,2021-08-09
2021-08-16,1026.4647216796875,1089.550048828125,1147.0,1012.0499877929688,1038.050048828125,1874771,2021-08-16
2021-08-23,1080.4940185546875,1146.9000244140625,1168.5999755859375,1037.0,1095.0,2082552,2021-08-23
2021-08-30,1106.684326171875,1174.699951171875,1214.550048828125,1146.75,1158.800048828125,1118553,2021-08-30
2021-09-06,1106.4017333984375,1174.4000244140625,1216.199951171875,1150.0,1174.0,887104,2021-09-06
2021-09-13,1108.7569580078125,1176.9000244140625,1196.199951171875,1150.1500244140625,1177.800048828125,718082,2021-09-13
2021-09-20,1035.7913818359375,1099.449951171875,1176.9000244140625,1068.0,1176.9000244140625,856485,2021-09-20
2021-09-27,989.3929443359375,1050.199951171875,1158.199951171875,1040.949951171875,1100.0,1031096,2021-09-27
2021-10-04,971.7756958007812,1031.5,1084.0999755859375,1026.949951171875,1050.0,726001,2021-10-04
2021-10-11,1038.8531494140625,1102.699951171875,1123.0,1032.6500244140625,1036.949951171875,1248813,2021-10-11
2021-10-18,1009.1770629882812,1071.199951171875,1123.0,1070.0,1120.0,789263,2021-10-18
2021-10-25,975.5441284179688,1035.5,1094.9000244140625,1005.0999755859375,1080.800048828125,1169595,2021-10-25
2021-11-01,1046.2957763671875,1110.5999755859375,1119.0,1031.25,1031.25,1069588,2021-11-01
2021-11-08,1031.41064453125,1094.800048828125,1165.8499755859375,1087.300048828125,1118.5,1205397,2021-11-08
2021-11-15,978.7472534179688,1038.9000244140625,1109.75,1035.8499755859375,1090.0,589711,2021-11-15
2021-11-22,980.678466796875,1040.949951171875,1079.0,980.25,1035.0,928993,2021-11-22
2021-11-29,989.3458862304688,1050.1500244140625,1155.0,1001.0,1020.5499877929688,1326329,2021-11-29
2021-12-06,941.345947265625,999.2000122070312,1053.800048828125,979.0,1050.1500244140625,1380636,2021-12-06
2021-12-13,966.6412963867188,1026.050048828125,1090.5,994.0,1005.25,1249974,2021-12-13
