Date,Adj Close_TRENT.NS,Close_TRENT.NS,High_TRENT.NS,Low_TRENT.NS,Open_TRENT.NS,Volume_TRENT.NS,Date
2020-07-13,618.10107421875,622.4500122070312,634.4000244140625,602.2000122070312,632.2999877929688,942103,2020-07-13
2020-07-20,573.4154663085938,577.4500122070312,626.75,575.0,622.4500122070312,929037,2020-07-20
2020-07-27,555.1422729492188,558.0999755859375,582.7999877929688,540.5999755859375,579.9000244140625,1748996,2020-07-27
2020-08-03,575.5833740234375,578.6500244140625,597.7999877929688,544.1500244140625,561.5,1288468,2020-08-03
2020-08-10,563.050048828125,566.0499877929688,596.5,552.0,583.4500122070312,2113224,2020-08-10
2020-08-17,602.8380126953125,606.0499877929688,628.5,557.6500244140625,566.0,2676469,2020-08-17
2020-08-24,647.0028686523438,650.4500122070312,684.0,606.0,611.4000244140625,6199714,2020-08-24
2020-08-31,646.5054931640625,649.9500122070312,660.8499755859375,610.4500122070312,655.3499755859375,2270636,2020-08-31
2020-09-07,691.6150512695312,695.2999877929688,705.0,627.0,650.0,3927248,2020-09-07
2020-09-14,678.3855590820312,682.0,769.0,671.0,698.9000244140625,9900399,2020-09-14
2020-09-21,629.645263671875,633.0,694.0,602.0,687.2000122070312,2662533,2020-09-21
2020-09-28,669.7813720703125,673.3499755859375,685.0,638.0499877929688,641.0,1977260,2020-09-28
2020-10-05,675.8988037109375,679.5,698.9000244140625,640.0,670.0,4877880,2020-10-05
2020-10-12,659.3370361328125,662.8499755859375,712.75,626.7999877929688,679.5,2779409,2020-10-12
2020-10-19,632.7786254882812,636.1500244140625,668.5,627.0,668.5,1114541,2020-10-19
2020-10-26,656.0545043945312,659.5499877929688,710.7000122070312,628.0,636.1500244140625,4713557,2020-10-26
2020-11-02,670.6268920898438,674.2000122070312,688.0,628.0,662.8499755859375,2567416,2020-11-02
2020-11-09,749.8050537109375,753.7999877929688,779.9000244140625,672.0499877929688,676.9500122070312,12651605,2020-11-09
2020-11-16,755.7235717773438,759.75,779.7999877929688,726.0499877929688,751.4500122070312,6285836,2020-11-16
2020-11-23,716.482666015625,720.2999877929688,808.9500122070312,695.2999877929688,762.0,29650338,2020-11-23
2020-11-30,673.412109375,677.0,745.0999755859375,668.4500122070312,720.2999877929688,5229253,2020-11-30
2020-12-07,685.6966552734375,689.3499755859375,707.9500122070312,672.0,680.9000244140625,4312963,2020-12-07
2020-12-14,694.7484130859375,698.4500122070312,724.0,693.0,695.0,4702909,2020-12-14
2020-12-21,681.1209716796875,684.75,700.0499877929688,634.2999877929688,698.0,3144587,2020-12-21
2020-12-28,671.0745239257812,674.6500244140625,695.0,650.0,684.0,3177459,2020-12-28
2021-01-04,691.714599609375,695.4000244140625,701.0,672.0,679.0,2443758,2021-01-04
2021-01-11,640.089599609375,643.5,705.1500244140625,639.5,702.9000244140625,2761361,2021-01-11
2021-01-18,656.99951171875,660.5,700.0,630.0,645.9000244140625,3686579,2021-01-18
2021-01-25,618.2559814453125,621.5499877929688,677.1500244140625,585.0,666.0,2220132,2021-01-25
2021-02-01,684.8013916015625,688.4500122070312,692.0999755859375,625.0999755859375,629.0,3805797,2021-02-01
2021-02-08,682.0162963867188,685.6500244140625,699.0,670.0,695.9000244140625,1917419,2021-02-08
2021-02-15,789.7919921875,794.0,805.0,680.9500122070312,685.9000244140625,5253132,2021-02-15
2021-02-22,804.3643798828125,808.6500244140625,844.9000244140625,763.0,799.75,4169496,2021-02-22
2021-03-01,876.7288818359375,881.4000244140625,944.7000122070312,806.6500244140625,820.0,7702918,2021-03-01
2021-03-08,871.9044799804688,876.5499877929688,944.5,872.75,886.0,3680974,2021-03-08
2021-03-15,794.9645385742188,799.2000122070312,888.0999755859375,776.0,880.0,3944003,2021-03-15
2021-03-22,756.0218505859375,760.0499877929688,846.0,745.7999877929688,800.1500244140625,4924740,2021-03-22
2021-03-29,746.8706665039062,750.8499755859375,777.1500244140625,739.0499877929688,760.0499877929688,2063590,2021-03-29
2021-04-05,725.33544921875,729.2000122070312,748.75,694.5,747.0,4582979,2021-04-05
2021-04-12,739.7089233398438,743.6500244140625,755.7999877929688,689.0,709.0499877929688,2922210,2021-04-12
2021-04-19,766.2176513671875,770.2999877929688,787.9500122070312,692.2000122070312,720.0,5120700,2021-04-19
2021-04-26,772.583740234375,776.7000122070312,794.5,760.9500122070312,780.9000244140625,4701901,2021-04-26
2021-05-03,748.7606811523438,752.75,810.0,736.0999755859375,758.0,3901366,2021-05-03
2021-05-10,768.5054321289062,772.5999755859375,783.0,742.0,754.7999877929688,2212891,2021-05-10
2021-05-17,822.4679565429688,826.8499755859375,855.0,760.5999755859375,772.6500244140625,7449926,2021-05-17
2021-05-24,822.2191772460938,826.5999755859375,847.3499755859375,806.0,831.5,3750260,2021-05-24
2021-05-31,847.583984375,852.0999755859375,863.9000244140625,824.5999755859375,832.0,4006350,2021-05-31
2021-06-07,869.0199584960938,873.6500244140625,892.4500122070312,838.4000244140625,851.0999755859375,2924057,2021-06-07
2021-06-14,844.6995239257812,849.2000122070312,895.0,828.9500122070312,871.0,3606306,2021-06-14
2021-06-21,858.9237060546875,863.5,867.75,831.0499877929688,843.0,2155717,2021-06-21
2021-06-28,895.0313110351562,899.7999877929688,909.7999877929688,846.25,863.0,3174152,2021-06-28
2021-07-05,900.5021362304688,905.2999877929688,947.9500122070312,891.4000244140625,909.5,5017152,2021-07-05
2021-07-12,875.80712890625,879.9000244140625,936.7000122070312,878.0,910.0,3112112,2021-07-12
2021-07-19,887.0047607421875,891.1500244140625,925.0,838.0,877.9000244140625,3941251,2021-07-19
2021-07-26,918.6071166992188,922.9000244140625,942.9500122070312,870.5999755859375,896.5,3380101,2021-07-26
2021-08-02,915.0736694335938,919.3499755859375,969.0,898.0,923.2999877929688,3927096,2021-08-02
2021-08-09,878.7433471679688,882.8499755859375,964.0999755859375,852.0,926.3499755859375,7159638,2021-08-09
2021-08-16,893.0266723632812,897.2000122070312,915.0,865.9500122070312,884.9500122070312,2768307,2021-08-16
2021-08-23,944.0880126953125,948.5,964.1500244140625,866.1500244140625,899.5,5744406,2021-08-23
2021-08-30,991.0685424804688,995.7000122070312,1036.699951171875,951.0,955.0,4866271,2021-08-30
2021-09-06,1017.7935791015625,1022.5499877929688,1050.0,993.25,1000.0999755859375,4699997,2021-09-06
2021-09-13,977.8801879882812,982.4500122070312,1027.699951171875,964.0,1014.0,2462429,2021-09-13
2021-09-20,982.956298828125,987.5499877929688,1031.800048828125,953.0,971.0,3296957,2021-09-20
2021-09-27,1039.4920654296875,1044.3499755859375,1090.0,970.0,995.0,5578047,2021-09-27
2021-10-04,1098.2176513671875,1103.3499755859375,1126.949951171875,1020.75,1053.5,5471067,2021-10-04
2021-10-11,1149.080078125,1154.449951171875,1209.949951171875,1095.0,1114.800048828125,3741930,2021-10-11
2021-10-18,1045.9619140625,1050.8499755859375,1179.949951171875,1043.4000244140625,1165.949951171875,3262950,2021-10-18
2021-10-25,998.48388671875,1003.1500244140625,1085.0,989.5,1061.0,3191185,2021-10-25
2021-11-01,1089.2099609375,1094.300048828125,1132.300048828125,996.6500244140625,1014.0,8068732,2021-11-01
2021-11-08,1143.8046875,1149.1500244140625,1160.0,1085.0,1099.800048828125,4122400,2021-11-08
