Date,Adj Close_LINDEINDIA.NS,Close_LINDEINDIA.NS,High_LINDEINDIA.NS,Low_LINDEINDIA.NS,Open_LINDEINDIA.NS,Volume_LINDEINDIA.NS,Date
2020-07-13,663.1116333007812,665.1500244140625,706.7999877929688,659.75,687.1500244140625,144886,2020-07-13
2020-07-20,657.4290771484375,659.4500122070312,684.0,651.75,674.8499755859375,364300,2020-07-20
2020-07-27,630.8607177734375,632.7999877929688,661.5,621.0999755859375,659.5,252213,2020-07-27
2020-08-03,674.0779418945312,676.1500244140625,706.2999877929688,626.0,631.6500244140625,375918,2020-08-03
2020-08-10,732.69775390625,734.9500122070312,749.9000244140625,672.0999755859375,679.9500122070312,864166,2020-08-10
2020-08-17,761.9577026367188,764.2999877929688,777.0,727.2999877929688,745.0,614033,2020-08-17
2020-08-24,747.6517333984375,749.9500122070312,800.0,745.0,774.7000122070312,502213,2020-08-24
2020-08-31,708.47216796875,710.6500244140625,760.0,704.0,760.0,294187,2020-08-31
2020-09-07,703.6868286132812,705.8499755859375,729.0,677.9000244140625,714.25,183440,2020-09-07
2020-09-14,816.1910400390625,818.7000122070312,860.0,707.0,707.0,2279538,2020-09-14
2020-09-21,722.4293212890625,724.6500244140625,839.3499755859375,705.0,826.0,618520,2020-09-21
2020-09-28,799.6918334960938,802.1500244140625,817.7000122070312,721.8499755859375,728.2999877929688,756509,2020-09-28
2020-10-05,786.9309692382812,789.3499755859375,835.8499755859375,773.0,812.0,544301,2020-10-05
2020-10-12,767.5405883789062,769.9000244140625,807.7999877929688,753.0,793.25,319285,2020-10-12
2020-10-19,838.6221313476562,841.2000122070312,844.9500122070312,762.2999877929688,773.75,319829,2020-10-19
2020-10-26,832.29150390625,834.8499755859375,848.0,798.2000122070312,844.9500122070312,215286,2020-10-26
2020-11-02,882.885986328125,885.5999755859375,928.0,820.0,838.0,732584,2020-11-02
2020-11-09,865.6390380859375,868.2999877929688,918.0,810.1500244140625,908.0,490123,2020-11-09
2020-11-16,887.9703979492188,890.7000122070312,942.0,857.2000122070312,857.2000122070312,668728,2020-11-16
2020-11-23,908.60693359375,911.4000244140625,936.0499877929688,862.25,895.2000122070312,486010,2020-11-23
2020-11-30,895.9957275390625,898.75,936.0,886.5,911.4000244140625,323883,2020-11-30
2020-12-07,905.8654174804688,908.6500244140625,922.0,891.0,903.25,229119,2020-12-07
2020-12-14,939.5618286132812,942.4500122070312,969.0,908.9500122070312,921.0,582569,2020-12-14
2020-12-21,962.1423950195312,965.0999755859375,999.0,879.9000244140625,944.9500122070312,332090,2020-12-21
