Date,Adj Close_UNOMINDA.NS,Close_UNOMINDA.NS,High_UNOMINDA.NS,Low_UNOMINDA.NS,Open_UNOMINDA.NS,Volume_UNOMINDA.NS,Date
2020-07-13,149.96188354492188,151.63711547851562,156.21408081054688,148.7516326904297,153.92559814453125,922953,2020-07-13
2020-07-20,145.3616943359375,146.9855194091797,158.60206604003906,144.697021484375,150.7416229248047,3015760,2020-07-20
2020-07-27,141.37646484375,142.95579528808594,150.21925354003906,136.81170654296875,150.21925354003906,3190449,2020-07-27
2020-08-03,140.04806518554688,141.612548828125,143.85128784179688,138.4036865234375,142.68215942382812,1212869,2020-08-03
2020-08-10,140.9751739501953,142.5500030517578,150.24412536621094,138.8514404296875,143.72691345214844,6298272,2020-08-10
2020-08-17,169.20974731445312,171.10000610351562,180.0,140.14999389648438,143.9499969482422,19508348,2020-08-17
2020-08-24,170.61900329589844,172.52499389648438,187.0500030517578,163.0,168.0,6792570,2020-08-24
2020-08-31,168.88833618164062,170.77499389648438,174.0,142.9499969482422,174.0,2106492,2020-08-31
2020-09-07,167.87464904785156,169.75,176.35000610351562,160.25,173.0,1552726,2020-09-07
2020-09-14,174.12979125976562,176.0749969482422,187.5,172.375,172.5,3089868,2020-09-14
2020-09-21,158.0345916748047,159.8000030517578,175.0,154.0,174.0,1560360,2020-09-21
2020-09-28,163.8446807861328,165.6750030517578,171.875,161.52499389648438,164.0,1338770,2020-09-28
2020-10-05,166.9351806640625,168.8000030517578,177.4499969482422,168.125,169.0,1379532,2020-10-05
2020-10-12,162.0892791748047,163.89999389648438,171.0,161.0,169.0,1186544,2020-10-12
2020-10-19,163.22659301757812,165.0500030517578,166.5,158.85000610351562,163.5,659630,2020-10-19
2020-10-26,158.05929565429688,159.8249969482422,167.0,157.5,165.625,788944,2020-10-26
2020-11-02,161.64427185058594,163.4499969482422,165.5,158.77499389648438,161.3000030517578,1107048,2020-11-02
2020-11-09,181.29966735839844,183.3249969482422,187.39999389648438,162.0,163.4499969482422,3674924,2020-11-09
2020-11-16,182.26393127441406,184.3000030517578,189.3249969482422,178.25,183.22500610351562,1078622,2020-11-16
2020-11-23,191.1644744873047,193.3000030517578,198.4499969482422,181.52499389648438,186.0,2238832,2020-11-23
2020-11-30,194.35385131835938,196.52499389648438,204.6999969482422,188.85000610351562,193.3000030517578,1744834,2020-11-30
2020-12-07,191.06558227539062,193.1999969482422,202.0,191.89999389648438,196.0,893508,2020-12-07
2020-12-14,195.76312255859375,197.9499969482422,199.0,188.4250030517578,194.5,747688,2020-12-14
2020-12-21,198.68052673339844,200.89999389648438,202.72500610351562,182.5,199.0,1141126,2020-12-21
2020-12-28,196.9004364013672,199.10000610351562,207.0,195.5,203.5,964686,2020-12-28
2021-01-04,198.4085693359375,200.625,206.0,193.6999969482422,199.9499969482422,2142248,2021-01-04
2021-01-11,200.38645935058594,202.625,210.0,196.25,202.4499969482422,2823810,2021-01-11
2021-01-18,241.84828186035156,244.5500030517578,259.8500061035156,201.1999969482422,206.0,6353824,2021-01-18
2021-01-25,225.72837829589844,228.25,261.45001220703125,225.1999969482422,247.3249969482422,4066576,2021-01-25
2021-02-01,272.9013977050781,275.95001220703125,289.7250061035156,222.75,228.25,8211184,2021-02-01
2021-02-08,289.8125,293.04998779296875,306.0,275.5,278.5,4988870,2021-02-08
2021-02-15,279.6015625,282.7250061035156,302.79998779296875,278.5,295.3999938964844,1019536,2021-02-15
2021-02-22,280.28814697265625,283.25,291.0,265.1000061035156,287.125,1340166,2021-02-22
2021-03-01,262.47637939453125,265.25,289.5,257.67498779296875,283.5,1194592,2021-03-01
2021-03-08,263.68853759765625,266.4750061035156,282.45001220703125,265.4750061035156,269.95001220703125,928018,2021-03-08
2021-03-15,283.40521240234375,286.3999938964844,289.0,260.0,269.75,3361096,2021-03-15
2021-03-22,268.2404479980469,271.07501220703125,295.45001220703125,258.04998779296875,290.0,2596414,2021-03-22
2021-03-29,266.7808837890625,269.6000061035156,284.3500061035156,265.79998779296875,271.07501220703125,1345040,2021-03-29
2021-04-05,272.74285888671875,275.625,281.45001220703125,261.0,269.92498779296875,2353368,2021-04-05
2021-04-12,255.12899780273438,257.82501220703125,269.95001220703125,252.02499389648438,268.1000061035156,1377850,2021-04-12
2021-04-19,265.51922607421875,268.32501220703125,279.45001220703125,229.52499389648438,237.52499389648438,3930656,2021-04-19
2021-04-26,259.7304382324219,262.4750061035156,275.6000061035156,260.5,275.0,1752406,2021-04-26
2021-05-03,259.13665771484375,261.875,268.2250061035156,251.89999389648438,260.1000061035156,2273796,2021-05-03
2021-05-10,252.6056671142578,255.27499389648438,270.0,254.5,269.1499938964844,2040766,2021-05-10
2021-05-17,277.1710510253906,280.1000061035156,301.0,256.2250061035156,258.04998779296875,6548298,2021-05-17
2021-05-24,285.63165283203125,288.6499938964844,292.3500061035156,281.0,283.95001220703125,2794120,2021-05-24
2021-05-31,291.4205017089844,294.5,312.5,285.32501220703125,291.5,5079626,2021-05-31
2021-06-07,303.0476379394531,306.25,307.5,285.20001220703125,296.95001220703125,5190890,2021-06-07
2021-06-14,325.98028564453125,329.42498779296875,335.0,300.0249938964844,310.0,11363806,2021-06-14
2021-06-21,330.0374450683594,333.5249938964844,338.92498779296875,319.0249938964844,328.5,4112740,2021-06-21
2021-06-28,316.5301513671875,319.875,337.5,317.5,335.20001220703125,1831604,2021-06-28
2021-07-05,323.4817199707031,326.8999938964844,328.0,314.57501220703125,322.375,3182414,2021-07-05
2021-07-12,356.18609619140625,359.95001220703125,362.0,328.5249938964844,331.0,6993216,2021-07-12
2021-07-19,363.7560729980469,367.6000061035156,371.0,347.54998779296875,357.0,3507186,2021-07-19
2021-07-26,368.50592041015625,372.3999938964844,385.5,354.625,370.29998779296875,2805102,2021-07-26
2021-08-02,353.78643798828125,357.5249938964844,417.0,353.5249938964844,377.0249938964844,7277642,2021-08-02
2021-08-09,353.6379089355469,357.1499938964844,371.5,343.5249938964844,359.2250061035156,6341918,2021-08-09
2021-08-16,351.9547119140625,355.45001220703125,376.0,345.54998779296875,350.75,3189244,2021-08-16
2021-08-23,352.54876708984375,356.04998779296875,367.5,353.3999938964844,354.0,1824654,2021-08-23
2021-08-30,338.8597106933594,342.2250061035156,365.0249938964844,334.5,361.82501220703125,3352922,2021-08-30
2021-09-06,348.8356628417969,352.29998779296875,357.45001220703125,342.75,344.42498779296875,2397550,2021-09-06
2021-09-13,353.4647216796875,356.9750061035156,377.875,348.5,354.07501220703125,4383420,2021-09-13
2021-09-20,364.48028564453125,368.1000061035156,372.75,349.8999938964844,354.8500061035156,2935468,2021-09-20
2021-09-27,357.35107421875,360.8999938964844,374.9750061035156,358.9750061035156,371.45001220703125,1656230,2021-09-27
2021-10-04,386.68475341796875,390.5249938964844,403.5,357.5,365.82501220703125,3624114,2021-10-04
2021-10-11,392.8238220214844,396.7250061035156,416.9750061035156,381.3999938964844,392.0,3574842,2021-10-11
2021-10-18,378.5901184082031,382.3500061035156,405.0,371.0,405.0,1978720,2021-10-18
2021-10-25,386.9322509765625,390.7749938964844,400.95001220703125,375.625,380.0,2684918,2021-10-25
2021-11-01,395.24969482421875,399.17498779296875,411.5,385.32501220703125,391.0,2104098,2021-11-01
2021-11-08,463.5464172363281,468.1499938964844,474.5,394.0,400.95001220703125,7986554,2021-11-08
2021-11-15,434.9306640625,439.25,492.5,435.6000061035156,468.5,4038176,2021-11-15
2021-11-22,418.6423645019531,422.79998779296875,467.95001220703125,416.6000061035156,439.2250061035156,3407556,2021-11-22
2021-11-29,435.7969970703125,440.125,465.5,402.7749938964844,415.6499938964844,2605438,2021-11-29
2021-12-06,466.3684387207031,471.0,477.5,425.0,442.45001220703125,4307502,2021-12-06
2021-12-13,518.7234497070312,523.875,536.75,487.5,490.54998779296875,17218304,2021-12-13
2021-12-20,586.8716430664062,592.7000122070312,627.2000122070312,489.04998779296875,513.0,16811998,2021-12-20
2021-12-27,606.4026489257812,612.4249877929688,628.7000122070312,580.5999755859375,590.0,4729600,2021-12-27
2022-01-03,607.4423217773438,613.4749755859375,620.0,525.0,614.9249877929688,4716378,2022-01-03
2022-01-10,569.3456420898438,575.0,622.3499755859375,565.6749877929688,617.7000122070312,2598996,2022-01-10
2022-01-17,544.8142700195312,550.2249755859375,592.5,543.2249755859375,586.3499755859375,1997648,2022-01-17
2022-01-24,518.4263916015625,523.5750122070312,550.2249755859375,476.67498779296875,545.2000122070312,5534244,2022-01-24
2022-01-31,524.8377685546875,530.0499877929688,586.125,524.75,524.75,4299884,2022-01-31
2022-02-07,496.5684814453125,501.5,572.5,497.5,530.0,5842390,2022-02-07
2022-02-14,482.2110595703125,487.0,524.5,465.0,477.5,3606396,2022-02-14
2022-02-21,469.47137451171875,473.8999938964844,492.5,438.5,472.54998779296875,5389062,2022-02-21
2022-02-28,451.34246826171875,455.6000061035156,482.5249938964844,450.5,470.0,1894744,2022-02-28
2022-03-07,493.8909912109375,498.54998779296875,503.875,437.0,449.5,5578900,2022-03-07
2022-03-14,511.1531066894531,515.9749755859375,546.0,488.875,497.0249938964844,5613280,2022-03-14
2022-03-21,483.04339599609375,487.6000061035156,515.9749755859375,483.42498779296875,515.0,2147596,2022-03-21
2022-03-28,461.4966125488281,465.8500061035156,490.2250061035156,452.0,490.2250061035156,3468886,2022-03-28
2022-04-04,474.1769714355469,478.6499938964844,498.29998779296875,462.6000061035156,467.5,2882520,2022-04-04
2022-04-11,468.97607421875,473.3999938964844,483.3500061035156,466.95001220703125,477.5,888724,2022-04-11
2022-04-18,466.2518005371094,470.6499938964844,475.0,445.32501220703125,470.5,1772452,2022-04-18
2022-04-25,453.07598876953125,457.3500061035156,470.9750061035156,446.125,468.5,1665776,2022-04-25
2022-05-02,433.9812316894531,438.07501220703125,461.29998779296875,435.04998779296875,455.0,1041700,2022-05-02
2022-05-09,414.04425048828125,417.95001220703125,464.17498779296875,384.4750061035156,437.0,5407776,2022-05-09
2022-05-16,433.7582702636719,437.8500061035156,449.5,401.79998779296875,419.82501220703125,2887616,2022-05-16
2022-05-23,447.50360107421875,451.7250061035156,457.875,411.1000061035156,443.3500061035156,7792976,2022-05-23
2022-05-30,436.21014404296875,440.32501220703125,495.0,437.57501220703125,456.0,4025178,2022-05-30
2022-06-06,428.7802734375,432.82501220703125,449.29998779296875,418.1000061035156,445.0,2194124,2022-06-06
2022-06-13,446.5129699707031,450.7250061035156,454.3999938964844,425.20001220703125,426.5,4379142,2022-06-13
2022-06-20,454.2153015136719,458.5,461.8500061035156,435.95001220703125,445.5,2225942,2022-06-20
2022-06-27,467.73773193359375,472.1499938964844,485.32501220703125,450.0,463.8999938964844,3194566,2022-06-27
2022-07-04,506.91815185546875,511.70001220703125,548.9500122070312,471.17498779296875,475.4750061035156,5002722,2022-07-04
2022-07-11,534.521240234375,538.4500122070312,544.0,503.54998779296875,513.3499755859375,2411196,2022-07-11
2022-07-18,516.8511352539062,520.6500244140625,568.7000122070312,511.6000061035156,545.7000122070312,3182150,2022-07-18
2022-07-25,505.0874938964844,508.79998779296875,532.0,507.3500061035156,520.6500244140625,1044377,2022-07-25
2022-08-01,517.595703125,521.4000244140625,546.4000244140625,505.54998779296875,509.79998779296875,1894887,2022-08-01
2022-08-08,558.544677734375,562.6500244140625,574.9500122070312,519.0999755859375,524.1500244140625,2281001,2022-08-08
2022-08-15,539.087646484375,543.0499877929688,579.5,540.0,562.6500244140625,1501782,2022-08-15
2022-08-22,566.2877197265625,570.4500122070312,575.0,526.4500122070312,541.0,1920293,2022-08-22
2022-08-29,566.4862670898438,570.6500244140625,584.9000244140625,545.25,552.5999755859375,1164021,2022-08-29
2022-09-05,587.2833251953125,591.5999755859375,604.7000122070312,559.6500244140625,570.0,2251068,2022-09-05
2022-09-12,539.73291015625,543.7000122070312,598.5,535.0,591.9000244140625,2214307,2022-09-12
2022-09-19,533.5781860351562,537.5,556.2000122070312,529.0,543.0,1137930,2022-09-19
2022-09-26,555.0205078125,559.0999755859375,567.5999755859375,526.25,532.25,2423268,2022-09-26
2022-10-03,559.6861572265625,563.7999877929688,578.4500122070312,551.0,561.0,918959,2022-10-03
2022-10-10,553.18408203125,557.25,573.0,552.0,560.4000244140625,766795,2022-10-10
2022-10-17,533.3795776367188,537.2999877929688,557.5,529.0999755859375,553.0499877929688,1936982,2022-10-17
2022-10-24,528.0189819335938,531.9000244140625,547.0,520.0,545.0,1231223,2022-10-24
2022-10-31,536.1591796875,540.0999755859375,548.9000244140625,528.2000122070312,534.5,1560042,2022-10-31
2022-11-07,559.1402587890625,563.25,570.0,538.1500244140625,538.1500244140625,1295276,2022-11-07
2022-11-14,550.0570678710938,554.0999755859375,563.7999877929688,530.3499755859375,563.0,1640056,2022-11-14
2022-11-21,545.3416137695312,549.3499755859375,564.7999877929688,546.2999877929688,556.5,803357,2022-11-21
2022-11-28,552.240966796875,556.2999877929688,571.6500244140625,542.0,552.5499877929688,2340462,2022-11-28
