Date,Adj Close_ALKYLAMINE.NS,Close_ALKYLAMINE.NS,High_ALKYLAMINE.NS,Low_ALKYLAMINE.NS,Open_ALKYLAMINE.NS,Volume_ALKYLAMINE.NS,Date
2020-07-13,897.481689453125,919.4600219726562,955.5999755859375,890.0,951.5999755859375,178654,2020-07-13
2020-07-20,910.7371826171875,933.0399780273438,943.4400024414062,900.0,919.4600219726562,261405,2020-07-20
2020-07-27,878.174560546875,899.6799926757812,965.2000122070312,893.219970703125,936.0,224796,2020-07-27
2020-08-03,954.3101196289062,977.6799926757812,1015.0599975585938,900.4000244140625,903.5999755859375,676084,2020-08-03
2020-08-10,1111.2259521484375,1133.8399658203125,1180.0,977.6799926757812,998.5999755859375,1054704,2020-08-10
2020-08-17,1254.5489501953125,1280.0799560546875,1310.0,1132.0,1155.199951171875,1039344,2020-08-17
2020-08-24,1305.962890625,1332.5400390625,1429.47998046875,1300.0,1342.739990234375,1454104,2020-08-24
2020-08-31,1313.1368408203125,1339.8599853515625,1380.0,1200.8399658203125,1332.5400390625,836554,2020-08-31
2020-09-07,1248.55126953125,1273.9599609375,1355.47998046875,1227.6400146484375,1348.0,434520,2020-09-07
2020-09-14,1307.2957763671875,1333.9000244140625,1368.0,1286.780029296875,1287.52001953125,447484,2020-09-14
2020-09-21,1239.0054931640625,1264.219970703125,1344.800048828125,1142.0,1334.0,630174,2020-09-21
2020-09-28,1274.111083984375,1300.0400390625,1328.0,1275.1600341796875,1275.199951171875,288125,2020-09-28
2020-10-05,1263.016845703125,1288.719970703125,1316.239990234375,1270.0,1313.56005859375,273946,2020-10-05
2020-10-12,1213.9945068359375,1238.699951171875,1308.4200439453125,1214.800048828125,1291.199951171875,303367,2020-10-12
2020-10-19,1172.6165771484375,1196.47998046875,1248.4200439453125,1195.199951171875,1240.0,235334,2020-10-19
2020-10-26,1163.384521484375,1187.06005859375,1214.4000244140625,1140.0,1204.0,363702,2020-10-26
2020-11-02,1292.614501953125,1318.9200439453125,1334.199951171875,1138.0,1192.0,590727,2020-11-02
2020-11-09,1328.5238037109375,1355.56005859375,1362.0,1284.800048828125,1334.0,607741,2020-11-09
2020-11-16,1342.460205078125,1369.780029296875,1380.0,1299.1600341796875,1347.56005859375,407459,2020-11-16
2020-11-23,1573.9688720703125,1606.0,1635.9599609375,1374.4200439453125,1380.0,1285637,2020-11-23
2020-11-30,1554.602783203125,1586.239990234375,1668.8399658203125,1564.02001953125,1606.0,489755,2020-11-30
2020-12-07,1518.2034912109375,1549.0999755859375,1606.0,1500.4000244140625,1594.0,324342,2020-12-07
2020-12-14,1511.5001220703125,1542.260009765625,1587.9000244140625,1518.4000244140625,1552.0,239408,2020-12-14
2020-12-21,1542.9991455078125,1574.4000244140625,1608.0,1389.3199462890625,1545.5999755859375,481342,2020-12-21
2020-12-28,1521.2418212890625,1552.199951171875,1582.280029296875,1520.4599609375,1582.280029296875,189141,2020-12-28
2021-01-04,1893.7020263671875,1932.239990234375,2244.0,1552.0,1576.0,6752438,2021-01-04
2021-01-11,1869.4161376953125,1907.4599609375,1994.0,1880.0,1949.5999755859375,363914,2021-01-11
2021-01-18,1882.07861328125,1920.3800048828125,2071.780029296875,1864.4000244140625,1912.1600341796875,729484,2021-01-18
2021-01-25,1875.1986083984375,1913.3599853515625,1997.5999755859375,1870.0999755859375,1939.5999755859375,318214,2021-01-25
2021-02-01,1941.5875244140625,1981.0999755859375,2088.0,1924.0,1939.5999755859375,641293,2021-02-01
2021-02-08,2093.7119140625,2136.320068359375,2192.0,1996.0,1997.97998046875,744633,2021-02-08
2021-02-15,2007.5618896484375,2044.5799560546875,2153.60009765625,2030.3800048828125,2153.60009765625,302887,2021-02-15
2021-02-22,1983.9769287109375,2020.56005859375,2071.280029296875,1980.800048828125,2046.0,273262,2021-02-22
2021-03-01,2014.710205078125,2051.860107421875,2138.0,2022.4000244140625,2035.9599609375,375089,2021-03-01
2021-03-08,2020.405029296875,2057.659912109375,2080.0,1992.52001953125,2055.840087890625,176569,2021-03-08
2021-03-15,2095.48095703125,2134.1201171875,2220.0,2059.10009765625,2064.0,716421,2021-03-15
2021-03-22,2129.434814453125,2168.699951171875,2396.0,2123.60009765625,2153.60009765625,1384394,2021-03-22
2021-03-29,2261.754638671875,2303.4599609375,2335.199951171875,2168.699951171875,2168.699951171875,373489,2021-03-29
2021-04-05,2411.59228515625,2456.06005859375,2520.0,2228.0,2300.0,890219,2021-04-05
2021-04-12,2297.45654296875,2339.820068359375,2454.0,2311.219970703125,2383.9599609375,360693,2021-04-12
