Date,Adj Close_SEAMECLTD.NS,Close_SEAMECLTD.NS,High_SEAMECLTD.NS,Low_SEAMECLTD.NS,Open_SEAMECLTD.NS,Volume_SEAMECLTD.NS,Date
2020-07-13,391.42010498046875,393.8500061035156,408.79998779296875,376.20001220703125,376.20001220703125,51418,2020-07-13
2020-07-20,398.97320556640625,401.45001220703125,412.95001220703125,391.29998779296875,391.29998779296875,68173,2020-07-20
2020-07-27,400.4639587402344,402.95001220703125,448.79998779296875,396.5,398.54998779296875,265035,2020-07-27
2020-08-03,411.2469787597656,413.79998779296875,439.0,399.0,403.0,105832,2020-08-03
2020-08-10,397.6811828613281,400.1499938964844,422.75,391.6000061035156,419.8999938964844,49699,2020-08-10
2020-08-17,404.6877136230469,407.20001220703125,414.75,395.95001220703125,400.1499938964844,201085,2020-08-17
2020-08-24,414.82476806640625,417.3999938964844,426.0,405.0,417.95001220703125,52341,2020-08-24
2020-08-31,400.7620849609375,403.25,421.0,390.04998779296875,421.0,47777,2020-08-31
2020-09-07,392.31451416015625,394.75,408.79998779296875,361.5,400.0,54505,2020-09-07
2020-09-14,397.78057861328125,400.25,414.79998779296875,392.75,400.5,154556,2020-09-14
2020-09-21,391.7437744140625,393.20001220703125,412.95001220703125,391.0,412.54998779296875,90523,2020-09-21
2020-09-28,432.6417236328125,434.25,442.0,394.1499938964844,394.1499938964844,73878,2020-09-28
2020-10-05,398.8672790527344,400.3500061035156,443.8999938964844,397.04998779296875,443.8999938964844,24782,2020-10-05
2020-10-12,399.4152526855469,400.8999938964844,410.95001220703125,396.0,401.75,19234,2020-10-12
2020-10-19,397.123779296875,398.6000061035156,421.0,376.0,421.0,23935,2020-10-19
2020-10-26,403.00189208984375,404.5,417.79998779296875,387.70001220703125,401.70001220703125,36619,2020-10-26
2020-11-02,393.1883850097656,394.6499938964844,414.95001220703125,384.79998779296875,405.20001220703125,50394,2020-11-02
2020-11-09,390.7474670410156,392.20001220703125,404.0,379.25,403.0,39978,2020-11-09
2020-11-16,384.5704040527344,386.0,409.0,382.5,388.5,27636,2020-11-16
2020-11-23,397.47247314453125,398.95001220703125,458.8999938964844,385.1499938964844,391.0,153349,2020-11-23
2020-11-30,414.6585998535156,416.20001220703125,455.0,398.95001220703125,398.95001220703125,231569,2020-11-30
2020-12-07,483.50262451171875,485.29998779296875,490.0,416.0,416.20001220703125,470295,2020-12-07
2020-12-14,461.93280029296875,463.6499938964844,512.25,461.1000061035156,488.0,677862,2020-12-14
2020-12-21,437.87225341796875,439.5,465.0,425.0,463.70001220703125,434226,2020-12-21
2020-12-28,450.27618408203125,451.95001220703125,475.0,430.6499938964844,452.8999938964844,585565,2020-12-28
2021-01-04,478.2222900390625,480.0,508.95001220703125,451.6499938964844,459.3999938964844,625759,2021-01-04
2021-01-11,472.2942810058594,474.04998779296875,489.8500061035156,461.0,485.0,582259,2021-01-11
2021-01-18,454.809326171875,456.5,485.5,450.20001220703125,485.5,592754,2021-01-18
2021-01-25,447.7854309082031,449.45001220703125,464.8500061035156,436.0,457.0,78900,2021-01-25
2021-02-01,488.9822692871094,490.79998779296875,520.0499877929688,445.29998779296875,459.6000061035156,339757,2021-02-01
