Date,Adj Close_SANSERA.NS,Close_SANSERA.NS,High_SANSERA.NS,Low_SANSERA.NS,Open_SANSERA.NS,Volume_SANSERA.NS,Date
2022-07-11,696.9712524414062,702.0,732.9000244140625,676.5999755859375,700.0,761841,2022-07-11
2022-07-18,767.21435546875,772.75,800.0,705.0,705.0,721217,2022-07-18
2022-07-25,711.1688232421875,716.2999877929688,782.9500122070312,705.5499877929688,771.9500122070312,370451,2022-07-25
2022-08-01,735.8407592773438,741.1500244140625,754.4500122070312,711.0,711.0,273753,2022-08-01
2022-08-08,724.224609375,729.4500122070312,760.4500122070312,725.1500244140625,760.0,283266,2022-08-08
2022-08-15,730.64111328125,733.9500122070312,749.2999877929688,715.0,729.4500122070312,130454,2022-08-15
2022-08-22,675.1424560546875,678.2000122070312,736.5,673.0499877929688,735.0,450134,2022-08-22
2022-08-29,721.5323486328125,724.7999877929688,734.7000122070312,679.0,679.0,324674,2022-08-29
2022-09-05,719.7902221679688,723.0499877929688,729.7999877929688,701.0499877929688,724.7999877929688,215693,2022-09-05
2022-09-12,722.62744140625,725.9000244140625,746.0499877929688,712.4500122070312,723.0499877929688,309924,2022-09-12
2022-09-19,702.7176513671875,705.9000244140625,751.75,687.75,730.25,813335,2022-09-19
2022-09-26,701.124755859375,704.2999877929688,715.0,673.25,708.0,351807,2022-09-26
2022-10-03,699.8306884765625,703.0,716.9500122070312,695.75,710.0,243018,2022-10-03
2022-10-10,712.7720947265625,716.0,718.75,682.5,709.75,288747,2022-10-10
2022-10-17,715.0616455078125,718.2999877929688,736.9500122070312,710.2000122070312,716.0,163268,2022-10-17
2022-10-24,718.7947387695312,722.0499877929688,737.75,709.0,726.2999877929688,92915,2022-10-24
2022-10-31,717.2020263671875,720.4500122070312,724.7999877929688,706.2000122070312,722.0499877929688,183423,2022-10-31
2022-11-07,739.202392578125,742.5499877929688,767.5999755859375,721.6500244140625,725.0,423595,2022-11-07
2022-11-14,736.763427734375,740.0999755859375,747.75,721.0999755859375,745.4500122070312,281116,2022-11-14
2022-11-21,786.9361572265625,790.5,811.75,732.6500244140625,735.0999755859375,795816,2022-11-21
2022-11-28,791.9136352539062,795.5,808.0,765.0,808.0,761078,2022-11-28
2022-12-05,788.0810546875,791.6500244140625,835.0,776.2999877929688,797.7000122070312,471701,2022-12-05
2022-12-12,767.2752685546875,770.75,800.0,745.0,797.75,171324,2022-12-12
2022-12-19,731.5370483398438,734.8499755859375,792.75,721.0999755859375,770.75,347378,2022-12-19
2022-12-26,741.0440063476562,744.4000244140625,755.5,704.2000122070312,734.8499755859375,323642,2022-12-26
2023-01-02,755.3790893554688,758.7999877929688,793.0,736.2000122070312,745.2999877929688,347930,2023-01-02
2023-01-09,751.8450927734375,755.25,782.0499877929688,731.0,758.75,223725,2023-01-09
2023-01-16,729.2971801757812,732.5999755859375,762.7999877929688,729.0,762.7999877929688,162895,2023-01-16
2023-01-23,700.1292724609375,703.2999877929688,736.0,697.0499877929688,736.0,136322,2023-01-23
2023-01-30,714.115966796875,717.3499755859375,765.0,699.0499877929688,714.75,233788,2023-01-30
2023-02-06,741.93994140625,745.2999877929688,757.7000122070312,709.8499755859375,717.3499755859375,233669,2023-02-06
2023-02-13,752.4921875,755.9000244140625,770.4500122070312,730.9000244140625,735.25,195847,2023-02-13
2023-02-20,741.0938110351562,744.4500122070312,763.9000244140625,736.1500244140625,750.0,144001,2023-02-20
2023-02-27,739.5009765625,742.8499755859375,753.0499877929688,721.0,749.75,153388,2023-02-27
2023-03-06,734.8222045898438,738.1500244140625,751.7999877929688,728.6500244140625,742.8499755859375,82150,2023-03-06
2023-03-13,724.8673095703125,728.1500244140625,737.75,705.0999755859375,731.5,124626,2023-03-13
2023-03-20,719.5413818359375,722.7999877929688,747.7999877929688,703.8499755859375,719.5999755859375,151197,2023-03-20
2023-03-27,744.080322265625,747.4500122070312,752.4000244140625,708.0,715.5499877929688,174705,2023-03-27
2023-04-03,719.1929931640625,722.4500122070312,749.3499755859375,720.25,747.4500122070312,64679,2023-04-03
2023-04-10,720.7360229492188,724.0,750.0,720.0,723.0,124238,2023-04-10
2023-04-17,719.6409912109375,722.9000244140625,731.75,715.1500244140625,721.0999755859375,72788,2023-04-17
2023-04-24,737.2113647460938,740.5499877929688,744.4000244140625,712.2999877929688,723.0999755859375,183026,2023-04-24
2023-05-01,735.9669799804688,739.2999877929688,749.5999755859375,730.0,740.5499877929688,95109,2023-05-01
2023-05-08,764.3385009765625,767.7999877929688,775.5,730.0,739.2999877929688,292507,2023-05-08
2023-05-15,770.1621704101562,773.6500244140625,802.7999877929688,760.0999755859375,767.0999755859375,358234,2023-05-15
2023-05-22,780.2166748046875,783.75,799.5999755859375,751.5499877929688,776.7000122070312,379501,2023-05-22
2023-05-29,820.9322509765625,824.6500244140625,830.0,760.2000122070312,783.7999877929688,959103,2023-05-29
2023-06-05,836.4121704101562,840.2000122070312,867.2999877929688,812.75,830.0,625448,2023-06-05
2023-06-12,836.810302734375,840.5999755859375,858.0,832.25,843.5499877929688,354374,2023-06-12
2023-06-19,862.6930541992188,866.5999755859375,914.5499877929688,827.0,835.25,2313120,2023-06-19
2023-06-26,866.5257568359375,870.4500122070312,883.5999755859375,852.4500122070312,877.75,821801,2023-06-26
2023-07-03,914.9564208984375,919.0999755859375,956.0,861.0999755859375,872.0999755859375,1268309,2023-07-03
2023-07-10,920.7302856445312,924.9000244140625,936.9500122070312,895.0999755859375,924.9000244140625,605384,2023-07-10
2023-07-17,921.3275146484375,925.5,940.0,905.0999755859375,924.9000244140625,420472,2023-07-17
2023-07-24,923.4180297851562,927.5999755859375,935.9500122070312,905.0499877929688,920.2000122070312,382399,2023-07-24
2023-07-31,948.0564575195312,952.3499755859375,998.2000122070312,936.5499877929688,949.9500122070312,1799962,2023-07-31
2023-08-07,932.6264038085938,936.8499755859375,963.2999877929688,911.5,952.2000122070312,838567,2023-08-07
2023-08-14,915.2052612304688,919.3499755859375,958.4000244140625,916.0999755859375,944.75,558703,2023-08-14
2023-08-21,943.2781372070312,947.5499877929688,964.4500122070312,905.3499755859375,918.0999755859375,574197,2023-08-21
2023-08-28,940.3912963867188,944.6500244140625,969.0,940.0,957.0,372207,2023-08-28
2023-09-04,947.0547485351562,948.8499755859375,965.0,938.0499877929688,945.0,372970,2023-09-04
2023-09-11,962.525390625,964.3499755859375,974.9500122070312,920.0,954.6500244140625,790195,2023-09-11
2023-09-18,938.8703002929688,940.6500244140625,971.9500122070312,923.0,970.0,355514,2023-09-18
2023-09-25,940.3175048828125,942.0999755859375,961.9500122070312,932.0,949.75,273185,2023-09-25
2023-10-02,923.1001586914062,924.8499755859375,952.0,912.5,942.0999755859375,189046,2023-10-02
2023-10-09,903.1380004882812,904.8499755859375,934.4500122070312,902.6500244140625,924.0,334328,2023-10-09
2023-10-16,922.5512084960938,924.2999877929688,926.4000244140625,890.1500244140625,905.0,712300,2023-10-16
2023-10-23,862.2655029296875,863.9000244140625,924.0,861.0,924.0,447294,2023-10-23
2023-10-30,834.6677856445312,836.25,885.0,832.5,861.5499877929688,1087687,2023-10-30
2023-11-06,853.2825317382812,854.9000244140625,886.2999877929688,832.8499755859375,839.0499877929688,1213108,2023-11-06
2023-11-13,829.0284423828125,830.5999755859375,865.75,820.5,865.0,672002,2023-11-13
2023-11-20,846.495361328125,848.0999755859375,872.9000244140625,827.0,828.0,710373,2023-11-20
2023-11-27,872.396240234375,874.0499877929688,884.0,825.7000122070312,848.0999755859375,1104612,2023-11-27
2023-12-04,921.3035278320312,923.0499877929688,942.2999877929688,870.4500122070312,886.9500122070312,1228708,2023-12-04
2023-12-11,952.244873046875,954.0499877929688,959.0,904.5499877929688,932.0,742191,2023-12-11
2023-12-18,989.8735961914062,991.75,1048.3499755859375,937.0499877929688,955.0,2040131,2023-12-18
2023-12-25,1017.0221557617188,1018.9500122070312,1028.0,980.0,991.75,739189,2023-12-25
2024-01-01,1054.800537109375,1056.800048828125,1089.949951171875,1015.6500244140625,1018.9500122070312,917592,2024-01-01
2024-01-08,1033.9898681640625,1035.949951171875,1067.75,1016.0,1067.699951171875,558389,2024-01-08
2024-01-15,1017.2716674804688,1019.2000122070312,1035.949951171875,981.5999755859375,1035.949951171875,412477,2024-01-15
2024-01-22,1025.2564697265625,1027.199951171875,1036.8499755859375,997.0499877929688,1019.2000122070312,282676,2024-01-22
2024-01-29,1017.5211791992188,1019.4500122070312,1040.0,998.9500122070312,1020.0,601334,2024-01-29
2024-02-05,993.2172241210938,995.0999755859375,1024.0,931.0999755859375,1018.2000122070312,651361,2024-02-05
2024-02-12,1036.1358642578125,1038.0999755859375,1054.4000244140625,973.0499877929688,999.0,1173495,2024-02-12
2024-02-19,1024.0087890625,1025.949951171875,1063.5,1000.3499755859375,1048.0,660799,2024-02-19
2024-02-26,1017.1718139648438,1019.0999755859375,1054.5999755859375,999.0499877929688,1032.949951171875,395942,2024-02-26
2024-03-04,971.109130859375,972.9500122070312,1040.0,960.0499877929688,1040.0,449332,2024-03-04
2024-03-11,972.5064697265625,974.3499755859375,990.0,900.4500122070312,972.9500122070312,579266,2024-03-11
2024-03-18,997.3095092773438,999.2000122070312,1005.4500122070312,950.0,975.0,208957,2024-03-18
2024-03-25,1016.4232177734375,1018.3499755859375,1034.5,989.9000244140625,999.2000122070312,389395,2024-03-25
2024-04-01,1027.951416015625,1029.9000244140625,1054.0,1015.0,1026.0,568526,2024-04-01
2024-04-08,1054.101806640625,1056.0999755859375,1079.8499755859375,1030.0,1031.1500244140625,672820,2024-04-08
2024-04-15,1054.1517333984375,1056.1500244140625,1095.0,1031.050048828125,1049.949951171875,615532,2024-04-15
2024-04-22,1007.390380859375,1009.2999877929688,1066.4000244140625,1004.2999877929688,1064.949951171875,398258,2024-04-22
2024-04-29,1004.0467529296875,1005.9500122070312,1041.9000244140625,995.0499877929688,1011.9000244140625,295358,2024-04-29
2024-05-06,1007.7896118164062,1009.7000122070312,1017.9500122070312,972.5999755859375,1014.4000244140625,348311,2024-05-06
2024-05-13,1058.1939697265625,1060.199951171875,1113.8499755859375,984.9500122070312,1016.0,1405064,2024-05-13
2024-05-20,1024.3582763671875,1026.300048828125,1092.5,1015.9500122070312,1041.75,498676,2024-05-20
2024-05-27,1046.7657470703125,1048.75,1069.9000244140625,1010.0,1032.0,659022,2024-05-27
2024-06-03,1059.890869140625,1061.9000244140625,1105.050048828125,955.0,1100.0,1589553,2024-06-03
2024-06-10,1221.8836669921875,1224.199951171875,1242.0,1051.0,1051.0,2847560,2024-06-10
2024-06-17,1253.723388671875,1256.0999755859375,1330.6500244140625,1204.199951171875,1224.199951171875,2496786,2024-06-17
2024-06-24,1288.7569580078125,1291.199951171875,1342.550048828125,1241.050048828125,1254.0,1799252,2024-06-24
2024-07-01,1385.423828125,1388.050048828125,1405.050048828125,1296.800048828125,1298.949951171875,1152741,2024-07-01
2024-07-08,1372.64794921875,1375.25,1430.9000244140625,1324.050048828125,1398.800048828125,995981,2024-07-08
2024-07-15,1354.133056640625,1356.699951171875,1453.699951171875,1335.0,1375.0,1030877,2024-07-15
2024-07-22,1382.82861328125,1385.449951171875,1408.0,1295.050048828125,1343.800048828125,681077,2024-07-22
2024-07-29,1433.4327392578125,1436.1500244140625,1456.449951171875,1397.0,1397.25,820088,2024-07-29
2024-08-05,1391.3125,1393.949951171875,1479.0,1339.699951171875,1400.3499755859375,1171807,2024-08-05
2024-08-12,1464.2742919921875,1467.050048828125,1469.699951171875,1365.0,1385.0,608438,2024-08-12
2024-08-19,1526.3565673828125,1529.25,1541.699951171875,1463.800048828125,1480.0,718169,2024-08-19
2024-08-26,1500.505615234375,1503.3499755859375,1550.0,1466.050048828125,1529.25,528092,2024-08-26
2024-09-02,1377.43896484375,1380.050048828125,1518.0,1370.0,1518.0,1175078,2024-09-02
2024-09-09,1527.604248046875,1530.5,1539.9000244140625,1373.25,1385.0,803343,2024-09-09
2024-09-16,1663.596435546875,1666.75,1705.0,1521.949951171875,1530.5,2106377,2024-09-16
2024-09-23,1678.199951171875,1678.199951171875,1758.300048828125,1645.0,1666.75,695458,2024-09-23
2024-09-30,1617.1500244140625,1617.1500244140625,1699.0,1592.699951171875,1689.949951171875,313347,2024-09-30
2024-10-07,1608.050048828125,1608.050048828125,1631.9000244140625,1520.050048828125,1621.0,608441,2024-10-07
2024-10-14,1551.550048828125,1551.550048828125,1624.050048828125,1519.0,1624.050048828125,669361,2024-10-14
2024-10-21,1497.8499755859375,1497.8499755859375,1598.0,1456.449951171875,1560.0,775128,2024-10-21
2024-10-28,1571.5999755859375,1571.5999755859375,1585.0,1460.0,1499.0999755859375,554558,2024-10-28
2024-11-04,1551.3499755859375,1551.3499755859375,1606.550048828125,1515.0,1590.0,370611,2024-11-04
2024-11-11,1486.8499755859375,1486.8499755859375,1549.9000244140625,1430.449951171875,1541.3499755859375,466684,2024-11-11
2024-11-18,1481.800048828125,1481.800048828125,1511.0,1437.9000244140625,1511.0,457312,2024-11-18
2024-11-25,1587.6500244140625,1587.6500244140625,1632.8499755859375,1499.6500244140625,1504.4000244140625,1490270,2024-11-25
2024-12-02,1618.75,1618.75,1706.550048828125,1565.1500244140625,1574.9000244140625,881696,2024-12-02
2024-12-09,1565.050048828125,1565.050048828125,1649.25,1546.0,1618.75,426491,2024-12-09
2024-12-16,1515.5999755859375,1515.5999755859375,1588.449951171875,1488.5,1579.800048828125,568665,2024-12-16
2024-12-23,1510.0999755859375,1510.0999755859375,1556.8499755859375,1453.050048828125,1506.0,359560,2024-12-23
2024-12-30,1468.050048828125,1468.050048828125,1537.949951171875,1455.550048828125,1511.0,326278,2024-12-30
2025-01-06,1347.9000244140625,1347.9000244140625,1465.050048828125,1341.0,1465.0,666935,2025-01-06
2025-01-13,1357.25,1357.25,1409.949951171875,1267.9000244140625,1330.3499755859375,535402,2025-01-13
2025-01-20,1207.5,1207.5,1366.949951171875,1204.5,1355.050048828125,541478,2025-01-20
2025-01-27,1241.449951171875,1241.449951171875,1288.550048828125,1166.1500244140625,1205.0,643143,2025-01-27
2025-02-03,1272.9000244140625,1272.9000244140625,1311.0,1200.0,1240.0,514418,2025-02-03
2025-02-10,1189.949951171875,1189.949951171875,1295.0,1136.6500244140625,1272.9000244140625,880611,2025-02-10
2025-02-17,1197.1500244140625,1197.1500244140625,1236.6500244140625,1121.25,1190.050048828125,629885,2025-02-17
2025-02-24,1118.5999755859375,1118.5999755859375,1209.4000244140625,1098.800048828125,1179.25,324897,2025-02-24
2025-03-03,1158.800048828125,1158.800048828125,1174.800048828125,1057.949951171875,1116.800048828125,499533,2025-03-03
2025-03-10,1150.6500244140625,1150.6500244140625,1176.800048828125,1121.0,1160.800048828125,290098,2025-03-10
2025-03-17,1242.050048828125,1242.050048828125,1252.0,1143.550048828125,1150.6500244140625,368533,2025-03-17
2025-03-24,1216.75,1216.75,1272.0,1196.0,1262.0,505339,2025-03-24
2025-03-31,1087.699951171875,1087.699951171875,1219.3499755859375,1080.199951171875,1216.75,271906,2025-03-31
2025-04-07,1090.300048828125,1090.300048828125,1105.949951171875,972.2000122070312,1020.0,313395,2025-04-07
2025-04-14,1131.5,1131.5,1147.800048828125,1090.300048828125,1090.300048828125,214552,2025-04-14
2025-04-21,1111.199951171875,1111.199951171875,1157.800048828125,1100.199951171875,1135.9000244140625,348129,2025-04-21
2025-04-28,1083.800048828125,1083.800048828125,1147.9000244140625,1064.699951171875,1111.199951171875,269776,2025-04-28
2025-05-05,1108.9000244140625,1108.9000244140625,1145.0,1051.5,1091.0,430449,2025-05-05
2025-05-12,1240.4000244140625,1240.4000244140625,1251.0,1125.0999755859375,1125.0999755859375,504452,2025-05-12
2025-05-19,1230.4000244140625,1230.4000244140625,1262.0999755859375,1193.0,1251.0999755859375,524083,2025-05-19
2025-05-26,1360.699951171875,1360.699951171875,1415.0,1225.5999755859375,1230.0,943119,2025-05-26
2025-06-02,1351.5999755859375,1351.5999755859375,1405.0,1332.0,1400.0,797109,2025-06-02
2025-06-09,1314.0999755859375,1314.0999755859375,1384.0,1286.0999755859375,1357.9000244140625,344318,2025-06-09
2025-06-16,1327.0999755859375,1327.0999755859375,1383.0,1280.0999755859375,1314.0999755859375,616944,2025-06-16
2025-06-23,1378.0999755859375,1378.0999755859375,1382.0,1310.0,1320.0,385313,2025-06-23
2025-06-30,1383.5999755859375,1383.5999755859375,1414.800048828125,1358.300048828125,1385.0,513709,2025-06-30
2025-07-07,1354.699951171875,1354.699951171875,1424.5,1350.0,1380.0999755859375,637388,2025-07-07
2025-07-14,1376.0,1376.0,1389.800048828125,1343.0999755859375,1354.800048828125,207635,2025-07-14
