Date,Adj Close_SKYGOLD.NS,Close_SKYGOLD.NS,High_SKYGOLD.NS,Low_SKYGOLD.NS,Open_SKYGOLD.NS,Volume_SKYGOLD.NS,Date
2023-01-02,22.33590316772461,22.489999771118164,26.875,22.155000686645508,24.9950008392334,504720,2023-01-02
2023-01-09,30.68828010559082,30.899999618530273,31.479999542236328,22.274999618530273,23.540000915527344,34893080,2023-01-09
2023-01-16,25.18623924255371,25.360000610351562,32.400001525878906,25.299999237060547,30.989999771118164,9501950,2023-01-16
2023-01-23,26.55181884765625,26.735000610351562,27.954999923706055,25.2549991607666,25.899999618530273,4006900,2023-01-23
2023-01-30,28.111061096191406,28.30500030517578,29.639999389648438,26.204999923706055,27.25,1949880,2023-01-30
2023-02-06,30.84221839904785,31.05500030517578,34.79999923706055,28.905000686645508,28.905000686645508,4500680,2023-02-06
2023-02-13,30.574068069458008,30.78499984741211,32.77000045776367,30.0,30.59000015258789,3154850,2023-02-13
2023-02-20,34.29837417602539,34.41999816894531,34.599998474121094,28.799999237060547,30.889999389648438,5811830,2023-02-20
2023-02-27,31.109682083129883,31.219999313354492,35.5,31.020000457763672,34.099998474121094,4242360,2023-02-27
2023-03-06,30.736007690429688,30.844999313354492,34.01499938964844,30.549999237060547,31.600000381469727,1631380,2023-03-06
2023-03-13,26.341590881347656,26.434999465942383,32.060001373291016,25.600000381469727,31.0,2107560,2023-03-13
2023-03-20,25.086042404174805,25.174999237060547,27.81999969482422,24.799999237060547,26.28499984741211,1512870,2023-03-20
2023-03-27,27.14872932434082,27.2450008392334,29.899999618530273,20.639999389648438,25.100000381469727,7598830,2023-03-27
2023-04-03,31.244205474853516,31.354999542236328,34.0,27.09000015258789,28.290000915527344,8164310,2023-04-03
2023-04-10,33.147457122802734,33.26499938964844,36.900001525878906,31.059999465942383,31.229999542236328,13130400,2023-04-10
2023-04-17,32.868446350097656,32.98500061035156,36.98500061035156,32.75,33.20000076293945,4364690,2023-04-17
2023-04-24,32.868446350097656,32.98500061035156,34.650001525878906,31.80500030517578,33.0099983215332,2596860,2023-04-24
2023-05-01,33.43144989013672,33.54999923706055,36.09000015258789,32.599998474121094,32.98500061035156,2798170,2023-05-01
2023-05-08,32.574485778808594,32.689998626708984,35.0,32.310001373291016,33.69499969482422,800130,2023-05-08
2023-05-15,35.35961151123047,35.48500061035156,38.54999923706055,32.904998779296875,33.084999084472656,4514090,2023-05-15
2023-05-22,40.57113265991211,40.71500015258789,42.5,34.0,35.599998474121094,16255110,2023-05-22
2023-05-29,39.749046325683594,39.88999938964844,43.98500061035156,39.5,40.224998474121094,6513360,2023-05-29
2023-06-05,30.92035484313965,31.030000686645508,47.400001525878906,31.030000686645508,40.52000045776367,20947900,2023-06-05
2023-06-12,29.68971824645996,29.795000076293945,31.489999771118164,28.399999618530273,31.030000686645508,821930,2023-06-12
2023-06-19,27.397846221923828,27.4950008392334,30.2549991607666,26.725000381469727,30.2549991607666,414180,2023-06-19
2023-06-26,27.751590728759766,27.850000381469727,28.5,26.600000381469727,27.399999618530273,204190,2023-06-26
2023-07-03,27.412792205810547,27.510000228881836,28.780000686645508,26.989999771118164,28.295000076293945,344290,2023-07-03
2023-07-10,26.107421875,26.200000762939453,28.280000686645508,25.530000686645508,28.280000686645508,468320,2023-07-10
2023-07-17,27.05904769897461,27.155000686645508,27.799999237060547,26.0,26.795000076293945,297360,2023-07-17
2023-07-24,26.799964904785156,26.895000457763672,29.149999618530273,26.219999313354492,27.200000762939453,563470,2023-07-24
2023-07-31,26.42629051208496,26.520000457763672,27.84000015258789,26.200000762939453,27.0,328130,2023-07-31
2023-08-07,25.878232955932617,25.969999313354492,27.125,24.700000762939453,27.125,475760,2023-08-07
2023-08-14,29.669788360595703,29.774999618530273,30.05500030517578,27.264999389648438,27.264999389648438,3559590,2023-08-14
2023-08-21,28.24982452392578,28.350000381469727,29.18000030517578,28.030000686645508,29.18000030517578,1083110,2023-08-21
2023-08-28,28.38932991027832,28.489999771118164,28.90999984741211,28.399999618530273,28.68000030517578,810030,2023-08-28
2023-09-04,28.459081649780273,28.559999465942383,28.559999465942383,28.0,28.399999618530273,1059510,2023-09-04
2023-09-11,28.200000762939453,28.299999237060547,29.0,27.885000228881836,28.5,708810,2023-09-11
2023-09-18,28.698232650756836,28.799999237060547,28.799999237060547,28.25,28.299999237060547,431920,2023-09-18
2023-09-25,32.85499954223633,32.85499954223633,32.95000076293945,29.0,29.0,5729840,2023-09-25
2023-10-02,34.8650016784668,34.8650016784668,34.8650016784668,32.13999938964844,32.85499954223633,2880340,2023-10-02
2023-10-09,53.540000915527344,53.540000915527344,55.439998626708984,37.400001525878906,40.0,43964290,2023-10-09
2023-10-16,75.30500030517578,75.30500030517578,77.19999694824219,56.29999923706055,56.400001525878906,22204100,2023-10-16
2023-10-23,68.41999816894531,68.41999816894531,80.9000015258789,68.23500061035156,78.48999786376953,12240210,2023-10-23
2023-10-30,75.93000030517578,75.93000030517578,81.70500183105469,68.5,68.5,7402220,2023-10-30
2023-11-06,80.47000122070312,80.47000122070312,80.47000122070312,71.6500015258789,76.9000015258789,5023690,2023-11-06
2023-11-13,88.1050033569336,88.1050033569336,93.1449966430664,80.4749984741211,81.5,5833660,2023-11-13
2023-11-20,89.73999786376953,89.73999786376953,91.5,82.75499725341797,91.5,3532280,2023-11-20
2023-11-27,109.06999969482422,109.06999969482422,109.06999969482422,89.73999786376953,89.73999786376953,2697890,2023-11-27
2023-12-04,117.92500305175781,117.92500305175781,129.93499755859375,109.61000061035156,114.5199966430664,5928500,2023-12-04
2023-12-11,111.53500366210938,111.53500366210938,122.3949966430664,106.43000030517578,113.5,6813800,2023-12-11
2023-12-18,95.61000061035156,95.61000061035156,117.11000061035156,95.61000061035156,113.50499725341797,6266950,2023-12-18
2023-12-25,101.8550033569336,101.8550033569336,108.9000015258789,92.5,95.61000061035156,3949440,2023-12-25
2024-01-01,98.62000274658203,98.62000274658203,104.48500061035156,97.5199966430664,104.3550033569336,2520750,2024-01-01
2024-01-08,115.63999938964844,115.63999938964844,115.63999938964844,96.80500030517578,101.88999938964844,2605140,2024-01-08
2024-01-15,114.80000305175781,114.80000305175781,116.5,106.30000305175781,115.63999938964844,1408380,2024-01-15
2024-01-22,126.3949966430664,126.3949966430664,126.48500061035156,114.80000305175781,114.80000305175781,1129780,2024-01-22
2024-01-29,116.2699966430664,116.2699966430664,128.8000030517578,114.0,128.8000030517578,1570010,2024-01-29
2024-02-05,109.21499633789062,109.21499633789062,117.30000305175781,104.54000091552734,117.30000305175781,1535330,2024-02-05
2024-02-12,109.61000061035156,109.61000061035156,112.5,100.0,110.98999786376953,1091970,2024-02-12
2024-02-19,110.09500122070312,110.09500122070312,116.0,106.0,110.0,502780,2024-02-19
2024-02-26,108.86000061035156,108.86000061035156,111.9000015258789,100.0,110.69999694824219,474360,2024-02-26
2024-03-04,108.5999984741211,108.5999984741211,118.99500274658203,103.50499725341797,118.9800033569336,501000,2024-03-04
2024-03-11,99.2249984741211,99.2249984741211,111.9000015258789,89.29499816894531,108.5999984741211,919800,2024-03-11
2024-03-18,100.04000091552734,100.04000091552734,102.0,94.5,95.4000015258789,885390,2024-03-18
2024-03-25,96.05000305175781,96.05000305175781,101.5,94.99500274658203,100.04000091552734,329690,2024-03-25
2024-04-01,114.5999984741211,114.5999984741211,116.30000305175781,96.05000305175781,96.05000305175781,725970,2024-04-01
2024-04-08,109.93000030517578,109.93000030517578,119.07499694824219,104.0,116.0,707680,2024-04-08
2024-04-15,106.27999877929688,106.27999877929688,111.4000015258789,103.0,106.93000030517578,381860,2024-04-15
2024-04-22,108.2300033569336,108.2300033569336,110.5999984741211,101.0999984741211,106.27999877929688,884340,2024-04-22
2024-04-29,126.80000305175781,126.80000305175781,131.5449981689453,108.0999984741211,108.0999984741211,1569510,2024-04-29
2024-05-06,120.80000305175781,120.80000305175781,139.7949981689453,119.80000305175781,133.0,1937340,2024-05-06
2024-05-13,125.6050033569336,125.6050033569336,129.9949951171875,114.76000213623047,120.0,651190,2024-05-13
2024-05-20,120.29499816894531,120.29499816894531,127.5,118.0,125.6050033569336,385120,2024-05-20
2024-05-27,117.30500030517578,117.30500030517578,123.9000015258789,108.19999694824219,123.9000015258789,884660,2024-05-27
2024-06-03,126.69999694824219,126.69999694824219,127.5,109.22000122070312,117.30500030517578,1399530,2024-06-03
2024-06-10,133.74000549316406,133.74000549316406,133.74000549316406,120.0,129.5,721240,2024-06-10
2024-06-17,145.5850067138672,145.5850067138672,145.5850067138672,129.0,133.74000549316406,704050,2024-06-17
2024-06-24,163.85000610351562,163.85000610351562,167.89999389648438,151.1999969482422,152.86000061035156,2405010,2024-06-24
2024-07-01,184.2899932861328,184.2899932861328,184.2899932861328,158.1649932861328,172.0399932861328,1336800,2024-07-01
2024-07-08,221.4600067138672,221.4600067138672,225.0,175.0749969482422,183.0,2020490,2024-07-08
2024-07-15,199.3699951171875,199.3699951171875,221.3000030517578,180.38999938964844,221.3000030517578,1022100,2024-07-15
2024-07-22,230.05999755859375,230.05999755859375,244.25,191.11000061035156,204.8000030517578,1399750,2024-07-22
2024-07-29,204.3350067138672,204.3350067138672,236.0,186.4499969482422,230.89999389648438,2314720,2024-07-29
2024-08-05,223.52499389648438,223.52499389648438,223.52499389648438,190.0,195.5,2732160,2024-08-05
2024-08-12,239.97000122070312,239.97000122070312,258.7550048828125,234.6999969482422,234.6999969482422,2357960,2024-08-12
2024-08-19,253.69500732421875,253.69500732421875,275.0,230.0,235.0,2304940,2024-08-19
2024-08-26,260.68499755859375,260.68499755859375,273.8999938964844,254.8000030517578,256.010009765625,1390700,2024-08-26
2024-09-02,276.69500732421875,276.69500732421875,295.0,256.0,265.0,1666630,2024-09-02
2024-09-09,273.4949951171875,273.4949951171875,280.0,262.8599853515625,277.0,960940,2024-09-09
2024-09-16,249.46499633789062,249.46499633789062,278.8949890136719,247.0,278.8949890136719,1240330,2024-09-16
2024-09-23,257.2349853515625,257.2349853515625,271.0,241.50999450683594,250.0,2675700,2024-09-23
2024-09-30,270.67999267578125,270.67999267578125,274.0,251.0,257.2349853515625,1099360,2024-09-30
2024-10-07,303.67498779296875,303.67498779296875,314.29998779296875,262.5,272.5,2224920,2024-10-07
2024-10-14,318.1400146484375,318.1400146484375,327.29998779296875,290.1000061035156,303.67498779296875,1434350,2024-10-14
2024-10-21,348.7049865722656,348.7049865722656,368.5,315.135009765625,322.0,3968210,2024-10-21
2024-10-28,339.3699951171875,339.3699951171875,365.5,325.0,365.5,1598690,2024-10-28
2024-11-04,334.7049865722656,334.7049865722656,353.0,326.1050109863281,348.3999938964844,1199710,2024-11-04
2024-11-11,325.7099914550781,325.7099914550781,340.0,307.70001220703125,337.8999938964844,1200300,2024-11-11
2024-11-18,395.8599853515625,395.8599853515625,395.8900146484375,333.8550109863281,337.8999938964844,1703370,2024-11-18
